,Conteo de patrocinadores,Descripción,Objetivo,Nombre del proyecto,Estatus,Ubicación (por estado),Recaudado,Creador(a),Categoría
911,12,Cat Code is an Hybrid 3rd-1st Person Survival Horror taking place in the Late 90's for PC and Console.,1990,Cat Code: An Hybrid 1st-3rd Person Survival Horror Videogame,Exitoso,Distrito Federal,2398,Andrea Elizabeth,Juegos
912,12,Juego de cartas con un bonito diseño mexicano,26500,"Juego de cartas, Play Cards",Fallido,Mexico,2098,Fer Lory,Juegos
913,11,Un cortometraje que inice el camino en este mundo de cineNT.com. El corto habla de las obsesiones nos acosan.,20000,Terciopelo Gris,Exitoso,Distrito Federal,38018,Irving Torres Yllán,Cine y video
914,11,"Un cortometraje de titulación, de género Neo-Noir (Film Noir contemporáneo) sobre un asesinato y el dilema moral del investigador.",30000,El crimen - cortometraje sobre violencia de género,Exitoso,Distrito Federal,30350,Estefania Castro Belmont,Cine y video
915,11,¿Piensas que has honrado a esa persona que fuiste que te hace ser lo que eres ahora?,23000,CHARLAS / CONVERSATIONS,Exitoso,Baja California,25006,CHARLAS,Cine y video
916,11,"Encuentro interdisciplinario, intergeneracional y multicultural con el objetivo de que la música y el arte sean para tod@s",450000,3er Foro Internacional: Música para todos y para todo,Fallido,Baja California,17843,Kodály México,Música
917,11,"Segunda edición de Arcade Party en México. La fiesta más grande dedicada al gaming, comics, anime, jfashion y cultura pop asiática. 18+",130000,Arcade Party Vol. 2,Fallido,Distrito Federal,11350,Arcade Party MX,Música
918,11,Una obra coreográfica sobre la experiencia de la soledad y la búsqueda de la empatía en un contexto urbano.,10000,NINGÚN RELOJ CUENTA ESTO,Fallido,Distrito Federal,9999,Abril Pineda,Danza
919,11,"La historia de Luisa, una joven obsesionada con su antigua amante, Samanta, y con la adicción de su amiga Julia.",50000,Spasmos,Fallido,Baja California,9918,Victoria Barmak,Cine y video
920,11,Corto de titulación dirigido por Ale Nava,70000,Pinches Chamacos,Fallido,Distrito Federal,9538,Ale Nava,Cine y video
921,11,"Grupo de Teatro Dionisio, de Puerto Vallarta, está trabajando en su nuevo proyecto teatral del dramaturgo tapatío Jorge Fábregas.",8000,Obra de teatro El Destripadero Veraz.,Exitoso,Jalisco,8618,juan_pablo_h@hotmail.com,Arte
922,11,Highly detailed latex masks based on Mexican myths.  Each mask includes a booklet with concept art and the story behind the creature.,85000,Mexican Legends: the Tradition Behind the Mask,Fallido,Guanajuato,8600,Fabián Noyola,Arte
923,11,Cortometraje universitario que tiene como visión llegar participar en un festival internacional de cine.,7500,"""Salimos tocando""",Exitoso,Puebla,7568,Dorothy Naomi Torres Martín,Cine y video
924,11,"""Artosart Fotografía"": Nude Art & Smoke II",2500,Artosart: Nude Art & Smoke II,Exitoso,Guanajuato,7248,Artos Ravell,Fotografía
925,11,Un libro que cuenta más allá de una historia en un mundo lleno de mensajes ocultos. ¿Serás capaz de encontrarlos?,60000,Icthus: Memorias escarlata,Fallido,Distrito Federal,6760,Jaasiel,Editorial
926,11,"Nuestro tercer album está en camino! Un downtempo más denso y profundo.\r
// \r
Our third album is coming! Deeper and Louder downtempo.",60000,Man In Motion - Third Album,Fallido,Distrito Federal,6720,Man In Motion,Música
927,11,¡Necesitamos ayuda para entrar al rally 48 Hour Film Project y hacer un cortometraje en 48 horas!,6500,¡Queremos entrar al RALLY 48 HFP!,Exitoso,Distrito Federal,6500,Laura Emelia Jiménez,Cine y video
928,11,"Concientizar a todas las personas, para que los errores que cometemos nos sirvan como aprendizaje y buscar soluciones al problema.",5800,Aprendiendo de nuestros errores,Exitoso,San Luis Potosi,5800,victor,Editorial
929,11,El proyecto busca reunir fondos para solventar los gastos derivados del proceso de mezcla y masterización del álbum debut de Sense.,125000,Finalización del Álbum debut de Sense -Sense debut album,En curso,Mexico,5118,Gabriel Eduardo Paz,Música
930,11,"Una editorial aceptò imprimir, distribuir y promocionar mi libro, pero yo debo correr con los gastos de impresiòn de mil ejemplares.",70350,Historias Bajo el Librero,Fallido,Nuevo Leon,5059,Patricia Anaya,Editorial
931,11,"Cortometraje creado por estudiantes de Comunicación y Medios Digitales, en la materia de Realización Cinematográfica.",3000,El Hombre Perfecto,Exitoso,Distrito Federal,4818,Fery Dvlz,Cine y video
932,11,A video for my first single release,80000,Vueltecita: Back to Legendary videos,Fallido,Distrito Federal,4518,Maia,Música
933,11,Cortometraje de Ficción II de la Escuela Nacional de Artes Cinematográficas (antes CUEC).,60000,Aún no te vayas,Fallido,Distrito Federal,4038,Manuel Muñoz Valdez,Cine y video
934,11,Pandemia is a book which offers the reader a new and radical point of view of where might be the origin of new virus: Aliens,20000,Pandemia. The Origin of Coronavirus,En curso,Baja California,3968,Eckehard Karsten Ramirez Torres,Editorial
935,11,"Estamos grabando nuestra primer producción musical con canciones escritas por nosotros, el proyecto se va a conformar por 10 sencillos.",100000,Las rolas de los Warnero.,Fallido,Nuevo Leon,3168,WARNERO MX,Música
936,11,"Hola amik del reggaetón, estamos pa servirle :) trabajando en un grupo de latin music justiciero <3 ayúdenos",20000,Nenas Latinas,Fallido,Distrito Federal,3118,Nenas Latinas,Música
937,11,Cortometraje que narra la historia de una mujer otomí que sufre bullying en distintos momentos de su vida académica.,38000,MARÍAS: DISCRIMINACIÓN o BULLYING,Fallido,Queretaro de Arteaga,2810,YOSOYOHO,Cine y video
938,11,"Evento de recaudación de fondos, para solventar la estancia y estudios dentro del programa ""Eureka,laboratorio de circo"" en BS. AS.",11300,Cómo hacer un barco,Fallido,Jalisco,2618,Itzel Barajas,Danza
939,11,"Producción de la obra ""Tobías en el Fin del Mundo""\r
por el Colectivo Teatro en Espiral",50000,Tobías en el Fin del Mundo,Fallido,Baja California,2300,Colectivo de Teatro en Espiral,Teatro
940,11,1992 cartoonns stickers,1000,*1992 CARTOONS* 15 STICKERS!,Exitoso,Queretaro de Arteaga,1980,Nvbe,Arte
941,11,Challenges card game to play with your family or friends. / Juego de retos con cartas para convivencia familiar o con amigos.,120000,On the ball,Fallido,Distrito Federal,1947,Luis González,Juegos
942,11,"Una pagina para  crear historias, cuentos, novelas (tales) cortas mediante la combinación de varios elementos por parte de un usuario.",15000,Tus Ideas Infinitas Historias,Fallido,Baja California,118,Boris Rey Villegas Villanueva,Editorial
943,10,"Conseguir recursos que me permitan dar a conocer, en un producto editorial de calidad, la riqueza cultural e histórica de Acambay.",25000,"Publicación del libro ""Acambay un pueblo eterno""",Exitoso,Mexico,30118,Edgar Serrano Pérez,Editorial
944,10,Álbum no. 2,75000,Santiago Chacón - grabando mi segundo álbum de música,Fallido,Baja California,25610,Santiago Chacón Morfín,Música
945,10,"This project is a handmade embroidery which uses a special technique, combining metallic thread, pine wood, resin and some magic.",150000,Make 100: Magical Night Raven Metallic Thread Embroidery Art,Fallido,Yucatan,17218,María del Carmen De Urquijo Icaza,Arte
946,10,Un canal de sketches.,130000,LOLinalco,Fallido,Distrito Federal,16968,LOLinalco,Cine y video
947,10,Cortometraje universitario en el que se pretende explorar la mente humana desde el punto de vista de un trastorno mental.,15000,La Sentencia de los Cándidos,Exitoso,Puebla,15000,Patricia Lorena Hernández Colín,Cine y video
948,10,Super high quality hand-made paper art by an industrial designer,10000,Quickstarter: LucaniKami,Exitoso,Distrito Federal,14388,Rafael Riego Alrich,Arte
949,10,"Oh god, it's zine season! This season includes: Beastars, Hanako-kun and Cookie Run! Choose your favourite!",33000,Fanzine Season: Summer-Fall 2020,En curso,Tabasco,13238,ZitrusStudio,Editorial
950,10,"Hola, soy Juan Diego Paiz, cantautor chapín (guatemalteco), ayúdenme a realizar uno de mis sueños: Mi primer Álbum",100000,Nuevo Álbum: Mis Primeros Pasos,Fallido,Distrito Federal,10418,Juan Diego Paiz,Música
951,10,¡Gracias por interesarte en nuestro proyecto!,10000,Treinta Grados Bajo Cero,Exitoso,Nuevo Leon,10048,Alexa Pardo,Cine y video
952,10,Queremos recaudar un pequeño fondo para financiar los gastos de producción de nuestra participación en el 48 Hour Film Proyect de CDMX.,6000,Plot Twist en el 48 Hour Film Proyect CDMX,Exitoso,Distrito Federal,6553,Plot Twist - 48 HFP,Cine y video
953,10,"Nina es secuestrada por la secta que lidera Hana,una máquina con el fin de utilizarla para llevar a sus seguidores al nirvana digital",70000,Binario - cortometraje de ciencia ficción/a Sci-fi shortfilm,Fallido,Distrito Federal,5800,Kike Olvera,Cine y video
954,10,"¡Grita Fanny! Trata sobre Fanny Mendelssohn, compositora, cantante y virtuosa del piano y su lucha para poder ser escuchada en el mundo",3000,¡GRITA FANNY!,Exitoso,Baja California,5703,Estela Williams,Teatro
955,10,Busco la oportunidad de un nuevo comienzo lanzando esta canción que siempre deseé compartir contigo.,3000,#UnNuevoComienzo,Exitoso,Baja California,3361,Alberto Olivera,Música
956,10,A fantasy graphic novel about a group of guys that will reunite one more time the evil source that is threatening their lands again.,35000,Genoas Memories a fantasy graphic novel by Zil Foxxxil,Fallido,Baja California,2758,Liz Herrera,Cómic
957,10,Jabones naturales,2500,Jabart: una opción natural para tu limpieza personal,Exitoso,Sinaloa,2596,Jabart,Artesanía
958,10,Encuentro de Recien Graduados de Escuelas Profesionales de Danza Contemporánea  para favorecer el desarrollo profesional y laboral.,370000,GRADUADOS DANZA 2017,Fallido,San Luis Potosi,2425,Lore Azcona,Danza
959,10,A free videogame you can play with one hand in devices,2000,Pig in tower,Exitoso,Puebla,2228,Green Retroman,Juegos
960,10,"3d stl , stp files, tabletop gaming, toy assets.",1000,3D STL/STP Japanese village files. Assets,Exitoso,Baja California,2118,Gustavo Saavedra,Arte
961,10,Bolsas hechas de tul para las frutas en el super-mercado con el fin de sustituir las pequeñas bolsas de plástico,2000,Baggies,Exitoso,Sinaloa,2000,Gabriela Osuna,Artesanía
962,9,La historia de un joven que va a una terapia grupal de personas con VIH para superar sus miedos y aprender a vivir sin prejuicios.,60000,Tabú,Exitoso,Distrito Federal,61518,Jorge Alberto Castañeda Bocanegra,Cine y video
963,9,Cortometraje sobre un lugar de expresiones que carecen de naturalidad. Explorando la impotencia e inconsciencia de la realidad.,31500,CERO / SHORT FILM.,Exitoso,Distrito Federal,31918,Francisco Torres,Cine y video
964,9,Un cortometraje documental acerca de un grupo de padres que afrontan la pérdida de sus hijos.,25000,Renacer,Exitoso,Puebla,25018,Laura Rabadàn,Cine y video
965,9,"Hay cerca de 9 millones de personas que viven en la Ciudad de México, 9 millones de historias conectadas. Ayúdanos a contar 6 de ellas.",15000,Matlatl - Mini Serie Web,Exitoso,Distrito Federal,15418,Matlatl,Cine y video
966,9,Es un cortometraje de ciencia ficción en el cual se acabará el mundo gracias a la desaparición o mejor dicho explosión del sol,15000,ZENIT,Exitoso,Puebla,15000,Lorena,Cine y video
967,9,"El proyecto tiene como objetivo una transformación radical de los espacios públicos, a través de la pintura mural y la participación.",117800,Arte urbano para un cambio / Urban art for a change,Fallido,Distrito Federal,14688,Tonal,Arte
968,9,"Relatos sobre familia jalisciense, ventana genealógica a la historia de México y Jalisco durante épocas decisivas y años turbulentos",35000,"RELATOS Y ANECDOTAS SOBRE UNA FAMILA ESPECIAL, S. HERNANDEZ",Fallido,Guanajuato,11518,Armando Elizalde,Editorial
969,9,2 Ediciones de Colección con replicas de los Documentos de La Novela / 2 Collector's editions from replicas of The Novel Documents,240000,Dracula: Collector's Editions from The Novel Documents.,Fallido,Baja California,10939,Enrique A. Palafox (Elsenior Fox),Editorial
970,9,"Bocina para celular en remembranza de una flor de jacaranda \r
/\r
Cell phone speaker in remembrance of a jacaranda flower",27000,Mimosiphonia,Fallido,Baja California,7828,Angelica Olguin,Arte
971,9,Es un retrato contemplativo sobre una mujer y su pasión por una fe sin respuesta.,50000,Cortometraje Solitude,Fallido,Baja California,7000,Manuel G. Aguirre,Cine y video
972,9,Recopilación del Inktober 2019,6600,INKTOBER 2019 por MissKanto,Exitoso,Yucatan,6868,Alejandra Canto Cocom,Arte
973,9,Equidad Catacraneo´s 2nd Studio Album and Official Music Video for Polvo Masivo from our 1st Album Sangre y Plomo.,150000,Equidad Catacraneo´s 2nd Studio Album,Fallido,Nuevo Leon,6268,Equidad Catacraneo,Música
974,9,"Join the community to be part of a Fantasy Encyclopedia, and have a page dedicated to a character based on you!",55000,Fantasy Encyclopedia - Make 100,Fallido,Tamaulipas,5589,Cryomancerlex (Jose Rosales),Arte
975,9,Preserving culture & languages of 68 groups through photography - Preservando cultura & idiomas de 68 grupos a través de la fotografía.,500000,Photographing Natives - MEXICO - Retratando los Originarios,Fallido,Oaxaca,5263,Denis Jockmans Photography,Fotografía
976,9,Novela de Ficcion,5000,GIRA ENTRE LOS VIVOS,Exitoso,Sonora,5097,Carlos Ramirez,Editorial
977,9,"Detrás de cada pieza hay arte, historia, tradiciones y sueños.",112300,LACANKÁ ARTE A MANO,En curso,Chiapas,4895,Karen Ruiz,Artesanía
978,9,"Cuenta cuento miltidisciplinario que une tres artes: teatro, música y visual.",125000,"""Mazel y Shlimazel. La leche de la leona""",Fallido,Baja California,4800,Maurel Abigail Jottar Sanabria,Teatro
979,9,X Festival Internacional de Teatro Independiente Otra Latitud,90000,X FESTOL,Fallido,Chiapas,4688,Confines Teatro. La Puerta Abierta,Arte
980,9,Transforma tu realidad,40000,Sobre Lienzo,Fallido,Mexico,4618,Hermanos Vázquez,Cine y video
981,9,"Reposición de la exitosa obra de 2004 ""Casa y Jardín"" en teatro simultáneo: 2 obras para 2 públicos distintos en escenarios contiguos.",50000,"¡Que regrese al teatro ""Casa y Jardín""! (Canceled)",Cancelado,Baja California,4450,Ari García,Arte
982,9,Obra de teatro a un acto,85000,El viaje de los cantores,Fallido,Coahuila de Zaragoza,3418,Nube del Desierto Teatro,Teatro
983,9,De Fernanda del Monte. Dirección: Carol Borkan. Teatro La Capilla. Viernes 20:30 HRS Del 3 de febrero al 23 de Marzo,36200,Reflejos de Ella,Fallido,Guanajuato,3070,Alharaca Teatro,Teatro
984,9,Proyecto internacional de artes escénicas / International Performing Arts Project,70000,Procesos en Diálogo 2017,Fallido,Baja California,3060,Melissa Cisneros,Arte
985,9,An exclusive collection of art from Chiapas/London featuring art + portraits + food + street art + punk + books + pubs + beer+ culture,99000,Love me two times. Chiapas & London polaroid project,Fallido,Distrito Federal,2767,Pete Zavala,Fotografía
986,9,A musical story of drama and daily life. // Una historia musical de drama y vida diaria.,89000,Cómic: Is this my band?,Fallido,San Luis Potosi,2128,FU.Cómics,Cómic
987,9,"LAS INCREÍBLES AVENTURAS DEL HOMBRE QUE NO SE HACÍA DRAMAS, Editado x primera vez en México. Autor: Jesús Cossio.",77777,Las increíbles aventuras del hombre que NO se hacía dramas. (Canceled),Cancelado,Distrito Federal,2050,LATINO TOONS,Cómic
988,9,A Spec Ops team was sent to a planet to investigate the disappearance of a research team. What lies beneath this God-Forsaken world?,5000,PARADISE LOST: COSMIC HORROR SHOOTER,En curso,Campeche,1368,JEPR DEV,Juegos
989,9,"Busco crear mis diseños con mayor calidad, con un programa de diseño y equipo profesional, para emprender mi línea de productos Ziffer®",20000,Ayúdame a emprender con mi Arte (@Zifferoficial),En curso,Distrito Federal,423,Reynaldo P,Arte
990,8,Cualquier parecido con la realidad...es mera teatralidad,79500,"Tesitura la serie, temporada 2",Fallido,Distrito Federal,16550,Tesitura la serie,Cine y video
991,8,"Art & Activism. March 2018, Mexico City. Generating impact through art to expand artistic programs for reinsertion in prison",197519,Derribando Muros / Knocking Down Walls. Art Installation,Fallido,Distrito Federal,15020,Kolëctiv.feat,Arte
992,8,El objetivo del laboratorio es producir obra de teatro y adaptarla a la pantalla. La meta es generar industria y formar profesionales.,100000,BLACK MARÍA LAB / Laboratorio de dirección de actores,Fallido,Baja California,10320,Xésar Tena,Cine y video
993,8,"10 unique collage artworks with México’s silhouette, formed by multiple and representative elements from the country.",40000,Mexico Creates: What inhabits us.,Fallido,Distrito Federal,8540,Andrés Gamiochipi,Arte
994,8,"Grupo de actores , dirigidos por Victoria Hernández,preparan un clásico de la dramaturgia colombiana para estrenar en México.",55000,Los Papeles Del Infierno / The Roles Of Hell (Canceled),Cancelado,Distrito Federal,6818,Patricia Bermúdez,Teatro
995,8,Los niños de la selva se merecen tener acceso a la cultura y a la educación.,50000,Taller de Teatro para niños de La Selva Lacandona.,Fallido,Chiapas,6228,Mariana Azcárate,Arte
996,8,Estamos buscando llegar a la última carrera del campeonato Nascar Peak México Series y necesitamos de tu apoyo para lograrlo!,104000,Vamos por el triunfo,Fallido,Baja California,6188,Samira Rached,Juegos
997,8,"Libro de poesía moderna, nueva mirada, construcción del romance y desamor.",30000,Te escribo siempre de noche (Canceled),Cancelado,Nuevo Leon,6018,Roberta Lomeli,Editorial
998,8,"Drama de ciencia ficción sobre un hombre y su búsqueda por cumplir el sueño de su hijo, viajar en cohete a Marte.",60000,Marginado de las estrellas,Fallido,Guerrero,5668,Eugenio Sotto,Cine y video
999,8,"Códices del Pasado, es una obra de danza, “rock ballet”, que nace a raíz de la conmemoración del Bicentenario de México en el año 2010.",40000,CODICES DEL PASADO SOKOLOV,Fallido,Mexico,5100,María Isabel Cano Valenzuela,Teatro
1000,8,"Imagina una verdad que cuando estás a punto de tocarla, se escapa. Eso es un aforismo. Estos son mis 64 y primer libro :)",35000,Mis 64 aforismos,Fallido,Guanajuato,4800,Raúl Ramírez Riba,Editorial
1001,8,"Desierto Teatro, compañía independiente invitada al 5o. Festival Internacional De Teatro ""EmbrujArte"" 2017 en Costa Rica.",35000,Desierto Teatro en Costa Rica,Fallido,Coahuila de Zaragoza,4600,Hugo Dena,Teatro
1002,8,Cortometraje del CUEC (ENAC) sobre un bucle de viajes en el tiempo de un joven que anhela reencontrarse con su fallecida tía.,40000,El sueño infinito de un relojero,Fallido,Mexico,4328,Saúl Altair,Cine y video
1003,8,"An enigmatic SCP Foundation installation that went missing 20 years ago has been found, what horrible secrets lie within its walls?",3500,SCP: DERELICT - COSMIC HORROR FPS,Exitoso,Campeche,4268,SCP Derelict,Juegos
1004,8,"Hola , soy un joven pianista que busca apoyo para ir un concurso en Francia donde representaré a mi país",26000,Pianista mexicano representa a su país en Francia,Fallido,Distrito Federal,4000,Marco Levi,Música
1005,8,"ATELIER es un espacio para la promoción de talleres, eventos y reuniones artísticas interdisciplinares.",20000,ATELIER: el taller de varias manos,Fallido,Puebla,3898,María Fragoso,Arte
1006,8,"""CRYPTIDS Horror anthology"" is a graphic horror anthology wich contains full original stories from Unusual Scripts Studio.",360000,CRYPTIDS Horror anthology,Fallido,Distrito Federal,3608,Daniel &quot;Brook&quot; Arroyo (deleted),Cómic
1007,8,Nuevo Album Musical de alabanza y adoración con el propósito de inspirarnos acercarnos y conocer más de Jesús fortaleciendo nuestra fe.,40000,En cambio Tu - Nuevo Album,En curso,Baja California,3468,Jose Navarrete,Música
1008,8,"Cortometraje policiaco mexicano, que juega con la logica de los personajes y del publico.",3000,EL novato,Exitoso,Puebla,3168,Jesus Romero,Cine y video
1009,8,"Limerencia: Estado mental involuntario, el cual es resultado de una atracción romántica por parte de de una persona hacia otra.",55000,Donde nos vea la luna,Fallido,Queretaro de Arteaga,3038,Aarón Hernández,Cine y video
1010,8,"Talleres de fotografia, narrativa, dibujo movimiento y teatro, con perspectiva de género para niñas y niños de Huixquilucan",35000,Cuéntame tu Huixquilucan,Fallido,Mexico,2868,Mariana Moyers,Arte
1011,8,"A recording including 20- 25 pieces from the Saldivar codex 4.\r
Una grabación que incluirá de 20 a 25 piezas del códice Saldivar 4.",70000,Saldivar Codex 4: Santiago de Murcia (Part 1),Fallido,Distrito Federal,2600,Moisés Ramos Ortega,Música
1012,8,Novela que busca reducir los índices de violencia de pareja a través de una historia que mueve fuertemente las emociones.,20000,Paciencia y obediencia. Enamorarse de una persona psicópata,Fallido,Zacatecas,2418,Texere Editores,Editorial
1013,8,"""La amistad de Ana y Karla se pone a prueba cuando son secuestradas y ambas luchan por sobrevivir. Un año después una de ellas regresa",190000,Cortometraje Lo siento,Fallido,Chiapas,2400,Montse Castañeda Chávez,Cine y video
1014,8,"""Integrar es invitarte a la fiesta. Incluir es invitarte a bailar""",39700,"VII Encuentro de Teatro de Discapacidad ""Otros territorios""",Fallido,San Luis Potosi,2218,Juan Carlos Saavedra,Teatro
1015,8,Cortometraje animado de un alienígena buscando su lugar en el universo.,5500,La odisea de Cosmopeco,Fallido,Baja California,2150,Hiram López,Cine y video
1016,8,Lámparas de cerámica mayólica sin plomo,22000,JGV Cerámica,Fallido,Guanajuato,2048,Sofia Maass González,Arte
1017,8,We want to make our 4th tour through Europe and record  our new album. We need a bit of your help to make our dream come true.,50000,Los Kamer European Tour + Recording new Album,Fallido,Mexico,1310,Los Kamer,Música
1018,8,"Modular prefabricated house, equipped with technologies to generate its own energy, as well as recover and treat rainwater for its own",1719600,Eco Friendly House For Your Life,Fallido,Puebla,1248,José Julio Hernandéz Chávez,Diseño
1019,8,"Este es un proyecto audiovisual en proceso de producción, desarrollado por diez jóvenes universitarios.",15000,Cortometraje 'Escúchala' / Short film 'Escúchala',Fallido,Puebla,1218,Escúchala,Cine y video
1020,7,Un Cortometraje inspirado en la naturaleza que trata la aceptación a través de la fantasía.,20000,El Bosque de las Quimeras,Exitoso,Distrito Federal,21168,Bernardo Malo,Cine y video
