,Nombre del proyecto,Creador(a),Estatus,Ubicación (por estado),Descripción,Descripción (limpia),Palabras clave,Recaudado,Objetivo,Conteo de patrocinadores,Categoría
0,9 Years of Shadows,HALBERD STUDIOS,Exitoso,Jalisco,A Heartfelt Metroidvania Experience,heartfelt metroidvania experience,['experience'],1988905,380000,2919,Juegos
1,SANDSARA,Ed Cano,Exitoso,Nuevo Leon,The Kinetic Sculpture That Draws Infinite Patterns On Sand.,kinetic sculpture draws infinite patterns sand,"['patterns', 'sculpture draws']",18574946,100000,1990,Diseño
2,El Reino de Los Muertos - Expert Edition / Mexico Creates,Sextante studio,Exitoso,Distrito Federal,A limited edition deck of playing cards that celebrates life and death in the Mexican culture,limited edition deck playing cards celebrates life death mexican culture,"['edition', 'death mexican']",1322488,280000,1806,Juegos
3,"Hang and Roll ""Organize your backpack like never before""",Hang & Roll,Exitoso,Baja California,"Come and check out our innovative, simple and practical luggage organizer. Hasta la vista, messy clothes!",come check innovative simple practical luggage organizer vista messy clothes,"['check', 'vista messy']",1039589,150000,1339,Artesanía
4,The Warning - New Album and 23 date NorthAmerican Tour,The Warning,Exitoso,Nuevo Leon,"2020 not only takes us back into the studio for production of our 3rd album, but we embark on our first North American Tour March/April",takes us back studio production 3rd album embark first north american tour marchapril,"['american tour', 'studio']",3337199,570000,1132,Música
5,RPG Sounds,Cast n Play,Exitoso,Baja California,Bring your Tabletop sessions to life. Immersive auditive experiences for Dungeon Masters and Players at your fingertips.,bring tabletop sessions life immersive auditive experiences dungeon masters players fingertips,"['players', 'tabletop sessions']",1338164,369000,1075,Juegos
6,Bestiary Vol #2 - 3D Printable Models,Brayan Nafarrate,Exitoso,Coahuila de Zaragoza,3D Printable Models / RPG / Wargaming / Collectibles,3d printable models rpg wargaming collectibles,['models rpg wargaming'],1176954,2000,974,Juegos
7,The mountain with teeth: Historias de piedra,Alejandra Elena Gámez,Exitoso,Distrito Federal,"Colección más reciente de los cómics hechos por Alejandra Gámez para ""The mountain with teeth"".\r
Comics strips and little weird stories",colección reciente cómics hechos alejandra gámez mountain teethr comics strips little weird stories,"['comics', 'little weird']",474570,100000,893,Cómic
8,La búsqueda del legendario tomo 5 - comic by Jours de Papier,Jours de Papier,Exitoso,Distrito Federal,Se necesitan aventureros valientes para encontrar el Mítico 5to tomo de Jours de Papier. We need brave warriors to find JDP's 5th book.,necesitan aventureros valientes encontrar mítico 5to tomo jours papier need brave warriors find jdps 5th book,"['aventureros', 'encontrar', 'brave']",548622,145000,736,Cómic
9,The Warning's 2nd Studio Album,The Warning,Exitoso,Baja California,"Dany, Pau and Ale are ready to go to the studio and record The Warning's brand new album",dany pau ale ready go studio record warnings brand new album,"['pau ale', 'new']",1768119,400000,733,Música
10,Axolotl Playing Cards,Sextante studio,Exitoso,Distrito Federal,Playing Cards created to help support the axolotl conservation efforts in México by spreading knowledge about this amazing creature.,playing cards created help support axolotl conservation efforts méxico spreading knowledge amazing creature,"['cards', 'knowledge amazing']",387549,300000,677,Juegos
11,Cthulhu: Lovecraftian Bestiary - 3D Printable Models,Brayan Nafarrate,Exitoso,Coahuila de Zaragoza,3D Printable Files / RPG / Wargaming / Collectibles,3d printable files rpg wargaming collectibles,['files rpg wargaming'],731324,10000,607,Juegos
12,Éxodo: Documental de la caravana migrante centroaméricana,Cabal Films & Chicken Bus,Exitoso,Distrito Federal,"We accompanied an 8 months pregnant Yuri, who migrates with her partner Mike and her son Santi with one objective, to give birth in EUA",accompanied months pregnant yuri migrates partner mike santi one objective give birth eua,"['mike', 'months pregnant']",671184,665000,461,Cine y video
13,Card Game: The Card Game. A game about cards!,Gnomosapiens,Exitoso,Yucatan,What would happen if the most iconic effects and mechanics were merged in a single game?,would happen iconic effects mechanics merged single game,"['single', 'iconic effects']",172963,75000,409,Juegos
14,Survive a Nightmare,Damian Jimenez,Exitoso,Aguascalientes,"A competitive game, with action points, combat, search, strategy and some luck, can you perform the final conjuring?",competitive game action points combat search strategy luck perform final conjuring,"['final', 'game action']",22739,2000,374,Juegos
15,Neon City Riders: A Cyberpunk Turf Wars Action Adventure,Mecha Studios,Exitoso,Veracruz-Llave,"Explore a decaying futuristic city in search of items, superpowers and companions to free all the turfs and unite their people again!.",explore decaying futuristic city search items superpowers companions free turfs unite people,"['decaying', 'turfs unite']",225740,150000,369,Juegos
16,Pato Box - A full action duck fighting experience,Bromio,Exitoso,Puebla,"Adventure/fighting game inspired by the ""punch-out"" series, taking place in the building of a corrupt corporation.",adventurefighting game inspired punchout series taking place building corrupt corporation,"['game', 'building corrupt']",210700,200000,369,Juegos
17,VS. REYRING (lucha libre gay comic/bara/yaoi /furry ),Dai Leon,Exitoso,Distrito Federal,"VS Reyring Comic Lucha libre, comedia, golpes y mucha calentura!\r
VS.Reyring is a wrestling comic full of action and sensuality",vs reyring comic lucha libre comedia golpes mucha calenturar vsreyring wrestling comic full action sensuality,"['comic', 'sensuality']",278802,60000,320,Cómic
18,"Terremoto, a unique Pan-American art magazine","Dorothée, Antonella, Diego and Ana",Exitoso,Distrito Federal,"Operating from Mexico City, we are a free, bilingual, quarterly digital & print publication about contemporary art in the Americas.",operating mexico city free bilingual quarterly digital print publication contemporary art americas,"['mexico', 'contemporary art']",441683,400000,313,Editorial
19,Mi Hermano Luca (cortometraje acerca del autismo),Catalina Serna,Exitoso,Baja California,"Cortometraje animado basado en el libro infantil ""Mi Hermano Luca"". Busca crear conciencia sobre el autismo a través de un cuento.",cortometraje animado basado libro infantil hermano luca busca crear conciencia autismo través cuento,"['traves', 'animado', 'autismo']",369518,250000,304,Cine y video
20,Gold Medal - Yuri on Ice!! fanbook,Studio XIII,Exitoso,Chihuahua,"Yuri on Ice!! Fanbook, 100% latino y en español, con más de 50 participantes.",yuri ice fanbook latino español participantes,"['espanol', 'ice fanbook']",116835,43000,301,Cómic
21,DIVERSA FESTIVAL Música+Inclusión+Unión,Claudio Castellanos,Exitoso,Distrito Federal,"A festival with a new proposal for the music scene in Mexico, for an audience that doesn't complicate itself with labels.",festival new proposal music scene mexico audience doesnt complicate labels,"['complicate', 'new proposal']",261485,250000,286,Música
22,68 Voces-68 Corazones / 68 Voices-68 Hearts,68 Voces,Exitoso,Distrito Federal,"Serie animada de cuentos indígenas narrados en su lengua originaria creados bajo la premisa ""Nadie puede amar lo que no conoce""",serie animada cuentos indígenas narrados lengua originaria creados bajo premisa nadie puede amar conoce,"['animada', 'puede amar']",451511,400000,285,Cine y video
23,Muros somos - el libro sobre artistas urbanos de México,Cynthia Arvide,Exitoso,Distrito Federal,Descubre en este libro quiénes son algunos de los artistas urbanos más talentosos de México / Discover this street art book from Mexico,descubre libro quiénes artistas urbanos talentosos méxico discover street art book mexico,"['mexico', 'libro', 'quienes']",277080,260000,250,Editorial
24,“HASTA PRONTO / SEE YOU SOON / DO ZOBACZENIA WKRÓTCE”,Jennifer Skarbnik López,Exitoso,Baja California,Un Cortometraje dirigido por /a short film by: Jennifer Skarbnik López,cortometraje dirigido short film jennifer skarbnik lópez,"['skarbnik', 'dirigido short']",496563,490000,245,Cine y video
25,Coolhuntermx | Primer impreso,Coolhuntermx,Exitoso,Baja California,"Celebramos nuestro décimo aniversario con un arte-objeto mapeando el diseño, moda, arquitectura y gastronomía en México.",celebramos décimo aniversario arteobjeto mapeando diseño moda arquitectura gastronomía méxico,"['gastronomia', 'decimo', 'arquitectura']",485333,450000,241,Editorial
26,"""CON MAKA MÉXICO NOS CUIDAMOS TODOS""",Daniela Ustaran,Exitoso,Mexico,"Cubrebocas reutilizables para protegerse contra el COVID 19.  Hechos en telar de cintura, apoyamos a las mujeres de nuestra comunidad.",cubrebocas reutilizables protegerse covid hechos telar cintura apoyamos mujeres comunidad,"['mujeres', 'reutilizables protegerse']",225642,100000,238,Artesanía
27,45s Playing Cards by ManoSanta,Cesar Mosqueda,Exitoso,Baja California,"A new concept, a new deck. 45s Playing Cards.\r
Hold it, you might like it.",new concept new deck 45s playing cardsr hold might like,"['new', 'cardsr', 'deck']",321268,300000,234,Juegos
28,AXOLOTITLÁN Museo del Ajolote / Mexico Creates,AXOLOTITLÁN,Exitoso,Distrito Federal,El lugar del mítico monstruo de agua mexicano / The place of the mythical mexican water monster,lugar mítico monstruo agua mexicano place mythical mexican water monster,"['mitico', 'mexican water']",202030,190000,230,Arte
29,Tike'a // A Book by Dr. Alderete,Dr. Alderete,Exitoso,Distrito Federal,Tikea is a book by Dr Alderete that brings together in its pages the mystery of one of the most wonderful cultures of the South Pacific,tikea book dr alderete brings together pages mystery one wonderful cultures south pacific,"['cultures south', 'book']",316970,250000,222,Editorial
30,"CON LUGAR, TEMPORADA 2",Omar Flores Sarabia,Exitoso,Baja California,"2a temporada de la serie web LGBT, que muestra las aventuras amoroso-sexuales de Aarón en la Ciudad de México.",2a temporada serie web lgbt muestra aventuras amorososexuales aarón ciudad méxico,"['ciudad', 'serie web']",312472,300000,217,Cine y video
31,Nuevo disco de Sotomayor,Sotomayor,Exitoso,Distrito Federal,Be part of the new Sotomayor's record and its release in vinyl,part new sotomayors record release vinyl,['sotomayors record release'],168050,160000,217,Música
32,Ingrid Löw: Moonlight EP,Ingrid Löw,Exitoso,Distrito Federal,"Acompáñame a darle vida a mi primer EP, mezclando tintes de Folk, con notas de Blues, feeling de Soul y punch del Pop.",acompáñame darle vida primer ep mezclando tintes folk notas blues feeling soul punch pop,"['darle vida', 'tintes']",193500,80000,216,Música
33,"Intimidades... o no. Arte, vida y feminismo.",Mónica Mayer,Exitoso,Mexico,Un libro de Mónica Mayer // A book by Mónica Mayer,libro mónica mayer book mónica mayer,['monica mayer book'],360895,265000,214,Editorial
34,La Laguna Rosa,Gitana Films,Exitoso,Yucatan,Not all of us see life in the same color. A story that encourages us to break limits and view things from a different perspective.,us see life color story encourages us break limits view things different perspective,"['color story', 'limits']",216120,200000,214,Cine y video
35,MAKA MÉXICO // WITH ARTISAN SOUL,Daniela Ustaran,Exitoso,Distrito Federal,We give Mexican artisan women an opportunity to preserve their traditions as we take their work to new frontiers.,give mexican artisan women opportunity preserve traditions take work new frontiers,"['new', 'preserve', 'artisan']",321020,150000,212,Artesanía
36,Radio Nopal,Radio Nopal,Exitoso,Distrito Federal,Radio Nopal es una estación de radio colectiva por internet localizada en la Ciudad de México.,radio nopal estación radio colectiva internet localizada ciudad méxico,"['radio', 'localizada ciudad']",126888,120000,202,Editorial
37,Sunrise Playing Cards,Fran CG,Exitoso,Distrito Federal,Rise & Shine with Sunrise Cards,rise shine sunrise cards,['rise shine sunrise'],204173,100000,196,Juegos
38,Design Hero,Akinaba,Exitoso,Nuevo Leon,Design and pitch your way to be a creative legend in this graphic design/advertising visual novel.,design pitch way creative legend graphic designadvertising visual novel,"['visual', 'pitch way']",121255,95000,195,Juegos
39,DROPLENS Animated Shortfilm,Ro Bot,Exitoso,Distrito Federal,""" Atrapado en una pesadilla "" //
""despite having nothing in common, the guy will have to discover how to get robot help """,atrapado pesadilla despite nothing common guy discover get robot help,"['guy', 'pesadilla', 'robot']",234001,200000,190,Cine y video
40,"Hazlo Real, un proyecto de GAMA Crea.",Gama Crea,En curso,Distrito Federal,Ayuda a GAMA Crea y a sus colaboradores a seguir gestionando proyectos artísticos en la Ciudad de México.,ayuda gama crea colaboradores seguir gestionando proyectos artísticos ciudad méxico,"['gama', 'artisticos ciudad']",149936,220000,187,Arte
41,WAKE UP,Tefa Garmendia,Exitoso,Distrito Federal,"A sci-fi drama about Erik, a man who, devastated by the loss of his wife, tries to bring her back to life.",scifi drama erik man devastated loss wife tries bring back life,"['tries', 'drama erik']",132200,120000,187,Cine y video
42,"“Imperfecto"" de Troker (NEW ALBUM RELEASE)",Troker,Exitoso,Baja California,¡Hemos grabado el nuevo disco y necesitamos de su apoyo para sacarlo a la luz! >> We recorded new music & need your help to release it!,grabado nuevo disco necesitamos apoyo sacarlo luz recorded new music need help release,"['nuevo', 'need help']",170392,160000,181,Música
43,Carlos Camarón en los Aullidos del Horror,Mako Animation Studio,Exitoso,Baja California,Primer misterio del cómic mexicano que sigue las aventuras del detective Carlos Camarón.,primer misterio cómic mexicano sigue aventuras detective carlos camarón,"['misterio', 'detective carlos']",84406,75000,176,Cómic
44,El Deseo de Ana // Ana's Desire Film,ANOMIA,Exitoso,Distrito Federal,"Película independiente sobre, familia, deseo y nostalgia. // \r
\r
Independent Feature Film about family, desire and nostalgia.",película independiente familia deseo nostalgia r r independent feature film family desire nostalgia,"['independiente', 'feature film']",378600,300000,173,Cine y video
45,HOMBRE DIABLO: Devilman fanbook,Studio XIII,Exitoso,Chihuahua,"Hombre Diablo es un libro de arte inspirado en la obra de Devilman de Go Nagai, por fans para fans.",hombre diablo libro arte inspirado obra devilman go nagai fans fans,"['fans', 'obra', 'diablo']",59908,52000,171,Arte
46,This is: The SHIT.,Yosam Cardenas,Exitoso,Baja California,"Hi! Thank you for checking my project out, it took me almost 8 years to write this story and now, it’s finally here!",hi thank checking project took almost years write story finally,"['checking project', 'write']",87834,82849,168,Cómic
47,DULCE ALARIDO | Cortometraje,Juan Carlos Lelo de Larrea,Exitoso,Distrito Federal,"A dark story of loneliness, abuse, desire, encounter and hope.",dark story loneliness abuse desire encounter hope,"['encounter', 'story loneliness']",375600,375000,167,Cine y video
48,Lo Regular de lo Mediocre,Sergio Neri,Exitoso,Yucatan,¡La recopilación definitiva de los mejores (¿o peores?) cartones del webcómic La Tuya en Vinagre!,recopilación definitiva mejores peores cartones webcómic vinagre,"['webcomic', 'definitiva', 'cartones']",114176,70000,165,Cómic
49,Arroz con leche mamá + Ceramics Studio,Lina Fuensanta,Exitoso,Queretaro de Arteaga,Designing with love in our first kiln / Diseñamos la cerámica que te encanta y con tu apoyo tendremos nuestro propio horno.,designing love first kiln diseñamos cerámica encanta apoyo propio horno,"['disenamos', 'apoyo propio']",211136,99999,163,Artesanía
50,Tyr: Chains of Valhalla,Ennui Studio,Exitoso,Nuevo Leon,Unleash the power of Asgard in a city full of mechas on this cyberpunk Nordic-oriented jump and shoot videogame.,unleash power asgard city full mechas cyberpunk nordicoriented jump shoot videogame,"['power asgard', 'cyberpunk']",127150,120000,163,Juegos
51,"Garífuna - Dos mundos, un mismo latido",Carlos Chablé,Exitoso,Quintana Roo,Documental que explora las raíces de la cultura Garífuna a través de la historia de dos jóvenes que viven realidades distintas,documental explora raíces cultura garífuna través historia dos jóvenes viven realidades distintas,"['explora', 'realidades', 'raices']",205408,180000,161,Cine y video
52,Falso Mutis: nuestra Ópera Prima,Falso Mutis,Exitoso,Distrito Federal,La Ópera Prima de nuestra compañía: Una comedia con actores/músicos en vivo basada en el mito de Orfeo y Eurídice.,ópera prima compañía comedia actoresmúsicos vivo basada mito orfeo eurídice,"['prima', 'orfeo', 'compania']",114380,110000,161,Teatro
53,Terremoto Magazine: Issues 15 & 16,Ana Jaramillo,Exitoso,Distrito Federal,Help us get Terremoto's issues 15 and 16 go print!,help us get terremotos issues go print,['terremotos issues'],225398,200000,160,Editorial
54,FRIDIS: 3D Printed + Hand Painted Art Toys,Toy Artisans,Exitoso,Chiapas,A unique Art Toy collection inspired on the most famous painters of art history. Hand painted by talented Mexican Artisans!,unique art toy collection inspired famous painters art history hand painted talented mexican artisans,"['art', 'talented mexican']",244210,240000,157,Arte
55,Pinup Sexy Brutale Printable 3D Pretty Ladies.,Juan Lerma,Exitoso,Baja California,"Pinup Models for 3d Printing & Painting, Girls warriors and mythological Creatures. STL & OBJ Files(nsfw,wargames,boardgames,deco)",pinup models 3d printing painting girls warriors mythological creatures stl obj filesnsfwwargamesboardgamesdeco,"['obj', 'painting girls']",104938,18596,157,Juegos
56,"Witchcraft: Magic of Hereva, Printed & More Adventures (5e)",Xacur,Exitoso,Yucatan,"Printed version of the Core Books of Witchcraft: Magic of Hereva, new Adventures, and phone PDFs. For the 5e Dungeons & Dragons.",printed version core books witchcraft magic hereva new adventures phone pdfs 5e dungeons dragons,"['version', 'adventures phone']",70698,10000,157,Juegos
57,Teorema Taller de Cerámica/ Ceramics Workshop,Teorema,Exitoso,Nuevo Leon,Mexico Creates: Teorema Taller de cerámica colaborativo necesita un Horno/ New Ceramics Studio need a kiln.,mexico creates teorema taller cerámica colaborativo necesita horno new ceramics studio need kiln,"['creates', 'studio need']",124072,120000,156,Arte
58,MUERTOS (66 silent stories about death) a book by muertosruz,muertosruz,Exitoso,Yucatan,Muertos is a book by muertosruz with 66 silent stories about death,muertos book muertosruz silent stories death,"['stories', 'book muertosruz']",159430,66000,155,Editorial
59,txt.ure | New workshop to revive prehispanic woven furniture,txt.ure,Exitoso,Mexico,Help us preserve a pre-Hispanic technique headed to extinction! Let's build the first tule-weaving artisanal workshop!,help us preserve prehispanic technique headed extinction lets build first tuleweaving artisanal workshop,"['artisanal', 'lets', 'prehispanic']",358646,325000,150,Artesanía
60,Callejera - De la calle al Lunario,Aynes,Exitoso,Distrito Federal,Con tu aportación quiero grabar un disco de la mano de artistas que tocan en la calle. ¡Te invito a sumarte a esta aventura!,aportación quiero grabar disco mano artistas tocan calle invito sumarte aventura,"['quiero', 'invito sumarte']",231818,200000,149,Música
61,Aurora de Noche The Book,Smith Magenis México,Exitoso,Baja California,This book will captivate the youngest and the eldest through Aurora´s story. Come and find out more about Smith Magenis Syndrome.,book captivate youngest eldest auroras story come find smith magenis syndrome,"['magenis', 'captivate', 'story']",210300,195000,149,Editorial
62,Beacon The Awakening,Sheldrybox Studios,Exitoso,Baja California,"Beacon The Awakening is an emotional puzzle platformer game about a man and his need for answers, developed by a young mexican team.",beacon awakening emotional puzzle platformer game man need answers developed young mexican team,"['mexican', 'awakening emotional']",108838,100000,149,Juegos
63,Días de Invierno - Película / Winter Days Film,Jaiziel Hernández Máynez,Exitoso,Coahuila de Zaragoza,"Película independiente sobre Nestor, un joven de Saltillo que intenta encontrar su lugar en el mundo. Una historia sobre crecer.",película independiente nestor joven saltillo intenta encontrar lugar mundo historia crecer,"['historia', 'independiente nestor']",223898,200000,142,Cine y video
64,Mijo tiene un dinosaurio (Mijo has a dinosaur),A. Salomón,Exitoso,Baja California,Un niño de padres divorciados y un dinosaurio imaginario que no lo deja convivir con su padre.,niño padres divorciados dinosaurio imaginario deja convivir padre,"['padres', 'padre', 'dinosaurio imaginario']",113339,95000,141,Editorial
65,Mondragón - Ayúdanos a terminar nuestro primer álbum,Mondragón,Exitoso,Distrito Federal,"El álbum está casi listo, ayúdanos a llevarlo a tus manos.",álbum casi listo ayúdanos llevarlo manos,"['casi', 'ayudanos llevarlo']",88116,70000,141,Música
66,La Calandria y su disco rumbo a Bélgica,La Calandria,Exitoso,Veracruz-Llave,"Somos La Calandria, un grupo de son jarocho. ¡Necesitamos tu apoyo para grabar nuestro primer CD y así poder llegar hasta Bélgica!",calandria grupo jarocho necesitamos apoyo grabar primer cd así poder llegar bélgica,"['poder llegar', 'grabar']",83185,77000,141,Música
67,Zülar,Paulina Aguado,Exitoso,Distrito Federal,Un colectivo de amigos que actualmente producen sus cortometrajes de titulación universitarios.,colectivo amigos actualmente producen cortometrajes titulación universitarios,"['titulacion', 'amigos actualmente']",122050,120000,140,Cine y video
68,Handmade ceramic pieces - Matope Cerámica,Marina Villa Pardinas,Exitoso,Distrito Federal,Ayúdame a crecer mi marca y a cumplir mi sueño. Desarrollaré una nueva línea de productos de cerámica hechos en torno.,ayúdame crecer marca cumplir sueño desarrollaré nueva línea productos cerámica hechos torno,"['hechos', 'crecer marca']",159104,110000,138,Arte
69,Ari y la Cafetería de los Horrores,Amilcar Blackburn,Exitoso,Baja California,"Campaña que pretende lograr la producción de un tiraje amplio del webcomic ""Ari y La Cafetería de los Horrores"".",campaña pretende lograr producción tiraje amplio webcomic ari cafetería horrores,"['cafeteria', 'pretende lograr']",49210,25000,138,Cómic
70,Crónicas: nuevo disco de Amanda Tovalin,Amanda Tovalin,Exitoso,Distrito Federal,"Maquila y serie de conciertos: ""Crónicas hechas canción"". 
Chronicles- new album",maquila serie conciertos crónicas hechas canción chronicles new album,"['new', 'serie conciertos']",65298,60000,137,Música
71,io - Inner Self,Spaceboy,Exitoso,Distrito Federal,A huge threat is approaching the planet. Will there be someone capable of stopping it? IO - The first animated short film by Spaceboy.,huge threat approaching planet someone capable stopping io first animated short film spaceboy,"['threat', 'short film']",166366,150000,133,Cine y video
72,Artesanías para colorear / Mexican Handcrafts coloring book,Jorge Natera,Exitoso,Baja California,Libro para colorear hecho con los diseños de las artesanías de México. Coloring book made with the designs of Mexican handicrafts,libro colorear hecho diseños artesanías méxico coloring book made designs mexican handicrafts,"['mexican', 'colorear', 'coloring']",91390,85000,133,Editorial
73,"""Existir es de nacos"" un libro de ChangosPerros",Monos Sueltos,Exitoso,Yucatan,Compilado de cartones e historietas de ChangosPerros,compilado cartones historietas changosperros,['changosperros'],50405,40000,133,Cómic
74,"El mero Ditzionario. A ratos ilustrado, a ratos no",Mexicanísimo/ Paralelo 21,Exitoso,Mexico,"Un diccionario que guarda las palabras más mexicanas, es decir, medio picosas, medio albureras, medio jocosas.",diccionario guarda palabras mexicanas decir medio picosas medio albureras medio jocosas,"['medio', 'guarda palabras']",181428,180000,131,Editorial
75,MúSiCa creada por niÑas y NiñOs : tuty ti tu,MARIMBEL ROJO. Mariel Henry Rojo,Exitoso,Mexico,"Disco de canciones creadas por NIÑAS & NIÑOS. 
Con la participación de diversos músicos.",disco canciones creadas niñas niños participación diversos músicos,"['diversos', 'canciones creadas']",84842,79000,131,Música
76,Ink Begets Color.,Aretia Irn,Exitoso,Distrito Federal,An artbook coloring book for adults.,artbook coloring book adults,['adults'],59818,50000,131,Arte
77,On the Way to the End. / a MAKE 100 mini comic project!,Dacachi Fujino,Exitoso,Mexico,A silent mini comic about how difficult the road to our dreams can be.,silent mini comic difficult road dreams,"['mini', 'difficult road']",43088,16700,130,Cómic
78,*****...(Los Asteriscos...),Arturo Pons,Exitoso,Guanajuato,Comedia de lo absurdo donde una serie de personajes peculiares coinciden en una farmacia a buscar el sentido de la vida.,comedia absurdo serie personajes peculiares coinciden farmacia buscar vida,"['buscar', 'absurdo serie']",255611,250000,129,Cine y video
79,Agathos Vay: Land of Cats Año 2,Agathos Vay,Exitoso,Puebla,Ayuda al Sr. Kik y a la Sra. Gig a publicar su segundo año de trabajo del webcómic Agathos Vay!!,ayuda sr kik sra gig publicar segundo año trabajo webcómic agathos vay,"['agathos', 'sra gig']",130038,75000,129,Cómic
80,VR4E: Immersive learning.,"La Malinche, Estudio VR",Exitoso,Yucatan,An educational VR prototype based on original and interactive 3D content for 3rd grade kids to improve their learning skills.,educational vr prototype based original interactive 3d content 3rd grade kids improve learning skills,"['based original', 'learning']",140796,130000,127,Juegos
81,Enigma Playing Cards by Enigmacards,Hector Roberto Perez Bejarano,Exitoso,Baja California,"Playing Cards designed to capture mystery with a minimalist touch, using bold strokes and a retro influence.",playing cards designed capture mystery minimalist touch using bold strokes retro influence,"['strokes retro', 'cards']",70736,40000,127,Juegos
82,A la Cabeza / Ahead,Andrea Santiago,Exitoso,Baja California,Stop Motion Animation,stop motion animation,['animation'],111568,95000,126,Cine y video
83,Salvando el mundo Rally GIFF,Salvando el mundo,Exitoso,Baja California,A short film about a young man who is the chosen one to achieve world peace with just a Tweet.,short film young man chosen one achieve world peace tweet,"['world peace', 'man']",119133,60000,125,Cine y video
84,Brijes’ Stories: Unleash creativity and shape your own story,Puercomonte,Exitoso,Baja California,"Far more than a toy, a tool for creative thinking and cultural understanding for all ages",far toy tool creative thinking cultural understanding ages,"['toy', 'cultural understanding']",91478,90000,125,Editorial
85,The Top Comics Crowdfunding,Andres HR,Exitoso,Baja California,Un comic de ciencia ficción.,comic ciencia ficción,"['comic ciencia', 'ficcion']",150266,150000,123,Cómic
86,Archivo Gurrola,Edwarda Gurrola,Exitoso,Distrito Federal,"Digitization of the Gurrola Archive (1957-1967), theater documents Digitalización del Archivo Gurrola documentos de su labor escénica",digitization gurrola archive theater documents digitalización archivo gurrola documentos labor escénica,"['gurrola', 'documentos labor']",369990,342460,121,Teatro
87,Fantástico Encarnado: un viaje animado,Andrea Robles,Exitoso,Distrito Federal,Six animated short films and video-installations about the feeling of uncanny,six animated short films videoinstallations feeling uncanny,"['feeling', 'short films']",140137,130000,121,Cine y video
88,MAYA PLAYING CARDS RELAUNCH,oleon art,Exitoso,Puebla,A poker deck that promises to show you how wonderful the Mayan culture is.,poker deck promises show wonderful mayan culture,"['mayan', 'deck promises']",106138,85000,121,Juegos
89,Bunny Tarot,Mailoni Kat,Exitoso,Distrito Federal,"Complete, all full colored, bunny themed, printed tarot with 78 bunny themed cards",complete full colored bunny themed printed tarot bunny themed cards,"['bunny themed', 'tarot']",91821,17400,120,Arte
90,Escape Masters: Wonderland & Residente Godinez,Escape Masters,Exitoso,Distrito Federal,Escape Rooms inspired in Wonderland and Resident Evil. Located in Mexico City but with international rewards too.,escape rooms inspired wonderland resident evil located mexico city international rewards,"['rooms', 'city international']",68763,40000,119,Juegos
91,Mica quiere ser rescatista,ateconqueso,Exitoso,Distrito Federal,"Libro infantil que celebra la Ciudad de México, su temple, sus ganas de volver a florecer y la determinación para lograr lo imposible.",libro infantil celebra ciudad méxico temple ganas volver florecer determinación lograr imposible,"['lograr', 'infantil celebra']",256038,250000,117,Editorial
92,"Videoclip ""El Hombre del Río Nevado"" de Ocean's Acoustic",Ocean's Acoustic,Exitoso,Distrito Federal,"Videoclip de la canción ""El Hombre del Río Nevado"" de la banda mexicana Ocean's Acoustic, que retratará la importancia de la familia.",videoclip canción hombre río nevado banda mexicana oceans acoustic retratará importancia familia,"['importancia', 'cancion hombre']",101450,75000,116,Cine y video
93,POR TEMOR A QUE CANTEMOS LIBRES,Lizeth Rondero,Exitoso,Distrito Federal,"Obra teatral, musical, que trata de los actos libertarios femeninos que son considerados por la sociedad como locura.",obra teatral musical trata actos libertarios femeninos considerados sociedad locura,"['teatral', 'considerados sociedad']",73989,70000,115,Teatro
94,Siamo Creatrici,Karla Dueñas,Exitoso,Jalisco,"Revista de ilustración colaborativa hecha por mujeres, para mujeres.",revista ilustración colaborativa hecha mujeres mujeres,['ilustracion colaborativa hecha'],42548,35600,115,Cómic
95,Join us to finish Si tan solo pudiéramos dormir esta noche!,Eduardo Buda Moreno Fernández,Exitoso,Distrito Federal,Join us to finish postproduction on our first feature film!/ ¡Únete a nosotros para terminar la post de nuestro primer largometraje!,join us finish postproduction first feature film únete terminar post primer largometraje,"['primer', 'film', 'unete']",185000,125000,114,Cine y video
96,Chronicles of Marlis,Ivan Mendez,Exitoso,Distrito Federal,A strategic card game. Control one of three distinct countries and lead them to victory in the realm of Marlis.,strategic card game control one three distinct countries lead victory realm marlis,"['card game', 'countries']",158323,150000,114,Juegos
97,Cuarto Paralelo,Emileano Bt,Exitoso,Baja California,CUARTO PARALELO es un proyecto de cuatro cortometrajes que exploran los límites de la realidad.,cuarto paralelo proyecto cuatro cortometrajes exploran límites realidad,"['limites', 'paralelo', 'exploran']",58830,45000,113,Cine y video
98,Quetzalcolor | Art toys of mexican characters & legends,Yess Bertado Castell,Exitoso,Puebla,Juguetes artesanales del folclor mexicano | Artisanal toys of mexican folklore,juguetes artesanales folclor mexicano artisanal toys mexican folklore,"['mexican', 'artesanales folclor']",93360,52000,112,Artesanía
99,"De Nosotros, para la OFIT!",Mexicanísima A.C.,Exitoso,Chiapas,Documental X Aniversario de la Orquesta Filarmónica de Toluca,documental x aniversario orquesta filarmónica toluca,"['filarmonica', 'aniversario orquesta']",213860,197000,108,Cine y video
100,"Oblatos, el vuelo que surcó la noche.",Acelo Ruiz Villanueva,Exitoso,Baja California,Un documental sobre una asombrosa acción guerrillera en plena Guerra Sucia.,documental asombrosa acción guerrillera plena guerra sucia,"['asombrosa', 'plena guerra']",160550,150000,108,Cine y video
