,Proyecto,Autor(a),País,Descripción,Recaudación,Porcentaje,Vistas,Colaboradores,Categoría
0,VIOLENTINA - UM JOGO MARGINAL DE CONTAR HISTÓRIAS,Eduardo Caetano,Brasil,"Publicação do RPG Violentina, um jogo sobre Violência, Vícios, Volúpia... e nem um Vintém.",37172,459,6600,116,Editorial
1,CARD GOBLINS,Coisinha Verde Games,Brasil,Um incrível jogo de cartas onde cada jogador controla uma horda de caóticos e fracotes goblins!,44100,363,9300,225,Editorial
2,"CHACABUCO, LA PELÍCULA",CHACABUCO,Argentina,Somos un grupo de estudiantes de Diseño de Imagen y Sonido (FADU – UBA). CHACABUCO es nuestra ópera prima y tesis final de la carrera.,8177,357,25300,851,Cine y video
3,DUNGEON MONSTERS: THE CARD GAME,Helio Greca,Brasil,Aqui não basta matar o monstro mais poderoso. Você deve matar todos eles - e antes dos seus oponentes!,45353,320,11900,204,Editorial
4,EL DISCO DE LA CHUCK NORRIS!!!,Alfonso Salas,Argentina,La Chuck Norris Band grabó su primer disco y sólo nos falta HACER las copias! Sé nuestro productor!!! Ofrecemos muuchas recompensas!,59113,302,18100,100,Música
5,NO LO TESTEAMOS EXPANSIONES,Bureau de Juegos,Argentina,"Dos nuevas expansiones del No Lo Testeamos Ni Un Poco: KINÉTICO, con cartas que te van a hacer mover y PICANTE, la expansión ""hot"".",19699,301,48400,395,Editorial
6,SÉ PARTE DEL ANUARIO GATO 2015,El Gato y La Caja,Argentina,Una primera vuelta al Sol usando el arte y el diseño para estrellar la ciencia contra el resto de la cultura.,81089,275,58600,990,Editorial
7,"""LA NOCHE BOCA ARRIBA""",aemea,Argentina,"adaptación de un cuento del escritor argentino Julio Cortázar, 2da etapa de rodaje a filmar en Noviembre en el Delta del Paraná.",882,270,10300,8,Artes visuales
8,QUE SALGA CAPITAN BARATO 2,Daniel Müller,Argentina,Queremos llegar a todo el país con las aventuras de Capitan Barato y Miss Capi! Con tu ayuda lo podemos hacer posible!,5866,256,9900,53,Editorial
9,LA RUTA SANADORA,sofi patalano,Argentina,Somos una familia unida por este proyecto. Queremos publicar el libro que escribio nuestro padre. Una historia sumamente inspiradora y rica.,2369,241,16400,30,Editorial
10,KOJAK - EL PASTOR DEL RING,Fran Ariza,Argentina,Proyecto de serie basada en la vida del ex-boxeador Ricardo Kojak Silva desde su infancia hasta la pelea de su vida en Estados Unidos.,12467,238,4300,9,Cine y video
11,SIMA PRESENTA NOVELA GRÁFICA,Noseso Records,Argentina,Pre-venta de Novela Gráfica el discómic de SIMA.,23793,227,38600,224,Música
12,NACÍ AYER - SERIE WEB,Nací Ayer,Argentina,"Serie web de seis capítulos que transitan la vida de Sofía, tras su ruptura amorosa, acompañada de su hermana, su prima y su mejor amiga.",25752,225,16800,98,Cine y video
13,ARMONICISTA ARGENTINA LANZA SU 1ER DVD + CD Y VA POR SU VIDEO CLIP !!!,Sandra Vazquez,Argentina,"¿queres ser parte de mi DVD + CD?, queres participar en mi VIDEO CLIP?? , QUEDA POCO TIEMPO Y NOS FALTA MUY POCO !!! AYUDAMEEE !!!",8507,216,20000,137,Artes visuales
14,"INVISIBLE A LOS OJOS, EL LIBRO",InvisibleALosOjos,Argentina,Somos Invisible a los Ojos pero queremos hacernos ver. Llevate el libro de El principito con cientos de ilustraciones de todo el mundo.,65978,212,45500,561,Editorial
15,LUZ AL INSTANTE,Vuela el Pez,Argentina,"“Luz al Instante” es un disco de 16 canciones originales e inéditas inspiradas en Luis Alberto Spinetta, hecho por 16 solistas y bandas.",15820,210,34500,338,Música
16,MAGOS & TABERNAS,adriannovell,Argentina,"""Magos y Tabernas"" es un juego de mesa para 3 o 4 jugadores, donde un grupo de magos luchan por la última cerveza de la taberna.",13350,204,11500,76,Juegos
17,LOSVIAJES DEL CAPITÁN FOUCAULT,SebasKO,Argentina,Filosofos extraterrestres encuentran la tierra y deben debatir como salvarnos de nosotros mismos. Un juego de mesa como nunca jugaste antes.,9882,201,17200,137,Juegos
18,DE BOEDO A MARRAKECH!,Darío Gabriel Rosemblat,Argentina,El libro de la EPOPEYA RECORD de SAN LORENZO en MARRUECOS es un LEGADO ÚNICO! Conseguilo solo por este medio y hasta el 23-12!,56234,197,23300,284,Editorial
19,PARTÍCULA,ElectroShockeC,Argentina,Fiesta electrónica Multimedia + Filmación de largometraje en vivo. LA UNION HACE LA FIESTA! . VOS . FORMAS . PARTE .,22337,195,28300,86,Artes visuales
20,MIRAMAR,Ramiro Chaves,México,"Exposición de los intrigantes paisajes fotográficos de Ramiro Chaves en un espacio público de Laguna de Mar Chiquita, Córdoba, Argentina.",136257,195,21100,80,Artes visuales
21,ATRÁS DE TODO DETRÁS,matiasgoldin,Argentina,"Investigacion,construcción y puesta en escena de una obra de danza contemporánea,tesis de graduacion de la Universidad Nacional de las Artes",6361,194,10200,214,Artes escénicas
22,IDEA IN PROGRESS,arielanotariana,Argentina,mi primer fanzine. la película de mis ojos a través de una analógica prestada y mis notas del celular.,1863,190,1200,16,Artes visuales
23,PRIMER CD DE LUCAS GIULIANI,Lucas Giuliani,Argentina,"Soy Lucas Giuliani y quiero terminar de editar mi primer album ""BUEN VIAJE, BON VOYAGE"" pero para eso necesito de tu colaboración!",5670,183,15300,135,Música
24,LO QUE EL VIENTO ME DEJÓ,Laura Varsky,Argentina,"Una serie de textos que han sido dibujados y un libro que narra su proceso creativo: su historia, bocetos y objetos que lo inspiraron.",55895,179,20700,57,Editorial
25,CASA CHAUCHA - EL LIBRO,Casa Chaucha,Argentina,"Después de 4 años, 120 casas y 20.000 fotos, queremos editar un libro.",41692,172,72100,706,Editorial
26,"EP: ""THE SEARCH: PARTE 1""",Benjamín Lechuga González,Chile,"Se busca recaudar fondos para poder mezclar, masterizar, hacer el arte y lanzar de manera digital mi nuevo EP solista de 4 tracks",40928,168,16500,87,Música
27,AYUDANOS A EDITAR EL VINILO,Scatter Records,Argentina,"The Tormentos tienen nuevo disco ""The Tormentos... Ejecutan el Macabro Plan"" ayudalos a editarlo en vinilo.",29870,166,11700,138,Música
28,EL PERFECTO LUGAR EQUIVOCADO,Azucena Galettini,Argentina,"Publicar una novela siempre es una apuesta, más en estos tiempos. Te invitamos a apoyar la cultura y hacer que esta ficción cobre realidad.",13484,165,5100,87,Editorial
29,POKÉRUS - NUEVA MÚSICA VGM,Pokerus Project,Chile,Ayúdanos a publicar toda la nueva música de Videojuegos que tenemos lista para este año!,18590,162,2700,34,Música
30,ÉRASE UNA VEZ EN BUENOS AIRES,diego labat,Argentina,"Segundo largometraje de los creadores de la fantástica ""La máquina que escupe monstruos y la chica de mis sueños"". Ayudanos a hacer una más.",7958,162,21800,159,Artes visuales
31,"PREVENTA ""80 AÑOS NO SON NADA""",80AñosNoSonNada,Argentina,"Un libro que reúne algunas de las historias de un alma viajera que, a bordo de su casa móvil, recorre los caminos de América Latina.",52942,162,6500,194,Editorial
32,PROYECTO MIGRA,flor valeri,Argentina,Proyecto Migra es una cooperativa Cultural. Tenemos una carpa que será un teatro móvil y necesitamos un trailer para poder trasladarla.,18628,162,14500,67,Artes escénicas
33,UN LIBRO FUNDAMENTALISTA,Fundamentalista de Ciudad,Argentina,"Después de mucho trabajo y FADU recorrida, y con el apoyo de Wolkowicz Editores, voy por el sueño del primer libro en su tipo de la facultad",62989,160,19800,491,Editorial
34,"CD ""OUTROS HERÓIS"" - PÉRICLES GARCIA",Péricles Garcia,Brasil,"Contribua para que o CD ""Outros Heróis"", 3º disco do cantor mineiro Péricles Garcia, se torne realidade!",38644,159,9000,119,Música
35,FIN DE FIESTA,Jo Pieres,Argentina,Un grupo de amigos se reúne para despedir la quinta de su juventud pero al pasar las horas terminarán despidiendo también su amistad.,15611,159,17400,360,Cine y video
36,"SOY SOLO, LIBRO DE LIDERAZGO",Leo Piccioli,Argentina,"Un libro de negocios diferente, divertido, en primera persona, con muchas historias y aprendizajes para emprendedores y líderes.",41407,158,34000,289,Editorial
37,LIBRO DE JELLYKID!,LeaCaballero,Argentina,"¡Por fín llegó el momento! Todas las historietas de Jellykid recopiladas en un único libro, y con tu ayuda ¡podemos hacerlo realidad!",2850,158,10500,119,Editorial
38,CIUDADANO ILUSTRE,Vera Mignaqui,Argentina,"Un juego de preguntas y respuestas –con un toque de estrategia- sobre actualidad argentina para pensar, deducir y divertirse",6128,156,11300,46,Juegos
39,ENTRE - CORTOMETRAJE DE TERROR,SewatiAudiovisual,Argentina,"Una casa, una noche, una persona sola, una visita inesperada....",2533,155,3100,4,Cine y video
40,VOLVER AL FUTURO - TORMENTA,Tormenta,Argentina,"Tirada especial de 10 Clasicos de Tormenta, serigrafia artesanal limitada de autor. Imagenes que destacamos en nuestro recorrido",3567,155,20300,191,Diseño
41,UN CORTO DE ARTES MARCIALES,Juan Fernando,Argentina,Un corto de artes marciales inspirado en el trabajo de Jackie-Chan. Soy estudiante de cine y este será mi último corto como estudiante.,7909,155,2400,22,Cine y video
42,EL CRUCE DE LOS UNDERS,Nahuel Briones,Argentina,Disco de NAHUEL BRIONES + ORQUESTA PERA REFLEXIVA // Subite a la mula colectiva y hagamos juntos EL CRUCE DE LOS UNDERS,15147,154,12900,2693,Música
43,ONIÓN,JPZaramella,Argentina,"Un corto que combina actores en vivo con animación, narrado entre la realidad y lo onírico, mucho humor, y una marcada identidad visual.",30171,153,27600,168,Cine y video
44,SIN PELOS...NI EN LA LENGUA,cristinalinares,Argentina,"Un libro de experiencias, sentimientos, éxitos y fracasos de mujeres reales. Cuentos entretenidos que nos identifican.",2492,152,9300,40,Editorial
45,ENCUENTRO DE JUEGOS DE MESA,Emmanuel Cesar Rubio,Argentina,¡Apoyo para reunir a todos los Diseñadores de Juegos de Mesa del país en el 5ºENJM en Córdoba!,2974,151,6300,11,Juegos
46,PSYCHOPOMP: BUNNY LOVE,Gutter Glitter,Argentina,Los invitamos a participar para expandir la tirada de nuestra próxima antología de historietas y cuentos breves de género erótico.,2467,151,12600,36,Editorial
47,MARACAS ESPECIEROS DE VIDRIO,Autor(a) desconocido(a),México,"Mi proyecto es poner en producción Maracas. Maracas son tres diferentes especieros para sal, pimienta, azucar o tu especia favorita.",67950,151,25100,29,Diseño
48,DICIEMBRE,Cooperativa Sub,Argentina,Este libro contiene el primer ensayo de la Cooperativa Sub. Narra el clima de crisis y revuelta que vivió Argentina en diciembre del 2001.,24134,150,16600,321,Editorial
49,"SARU, EL NIÑO ARGENTINO",AnaSaru,Argentina,Se trata de un libro que recorre toda la trayectoria profesional de Jorge Sarudiansky.,29281,149,16300,134,Editorial
50,VIDEOCLIPE MARCELLA CAMPÊLO,Fernanda Maria Matheus Bartholo Campelo,Brasil,Gravação do primeiro videoclipe da cantora mirim Marcella Campêlo.,12112,149,7600,40,Música
51,¡AYUDANOS A REALIZAR REMAKE!,Remake,Argentina,"Somos un equipo de curadoras independientes y necesitamos fondos para cubrir los gastos de Remake, exposición de arte. ¿Nos ayudás? ¡ENTRÁ!",1217,149,8700,55,Artes visuales
52,LA WAGNER,La Wagner,Argentina,"Nueva obra del coreógrafo y director Pablo Rotemberg, inspirada en la controvertida figura del compositor alemán.",3175,149,13600,51,Artes escénicas
53,"ALTERTANGO , QUINTO DISCO , EL PROYECTO..",Altertango,Argentina,"Estamos por empezar a grabar nuestro quinto disco , compuesto por canciones nuestras. Necesitamos tu apoyo para cumplir nuestro objetivo.",9673,148,11000,102,Música
54,SOMBRA DE OJOS,Francisca Salas Vicencio,Chile,Dos personajes solitarios se enfrentan a la hostilidad de los años 90' en Chile. Una mirada poética acerca del VIH y su estigma social.,12699,148,8300,24,Cine y video
55,MUESTRA EN MIAMI,Gabriela Piserchia,Argentina,Estoy juntando fondos para participar con mis obras de las ferias MIA y Palm Beach Fair en Miami a principios de Enero 2014,1193,146,11000,176,Artes visuales
56,RABIA,Plancton Audiovisual,Argentina,Cortometraje Thriller-Suspenso para TESIS UBA.,14150,144,2500,63,Cine y video
57,CANCIONES DE LA CHINA,Sofia Aristarain,Argentina,Un disco que nació en la China necesita de tu ayuda para salir a la luz.,7059,144,10400,54,Música
58,DIVINO BAROLO,ZKYSKY,Argentina,"“Divino Barolo” un delicioso libro con fotos, personajes y claves para conocer el edificio más extravagante de Buenos Aires.",21118,143,33500,266,Editorial
59,(QUÉ) MUDA,(qué) MUDA,Argentina,Historias de mudanzas reales que nos llevan a reflexionar acerca de nuestras libertades y sujeciones en el entramado de aquello (que) MUDA.,3758,143,5900,20,Artes escénicas
60,LAS TRANQUI TORRES,tranquiyanqui,Argentina,"Un símbolo poderoso de Tranquilandia. Las Tranqui Torres representan el mundo Miami-Porteño, Yanqui-Argento, creado por Tranqui Yanqui.",20577,142,9500,18,Artes visuales
61,PURPLE COMICS LIBRO 2014!,LeaCaballero,Argentina,"Ayudanos a imprimir nuestro 1er libro, que incluirá 4 historietas de aventuras y acción enteras, hechas por jóvenes autores argentinos!",2332,142,10700,32,Editorial
62,BANANA FISH ZAPATOS,Juanabanana,Argentina,"Regresa la vieja escuela con estos cancheros, trendy, trash, glamourosos, nerd, punk, paquetérrimos zapatos. Usar uno en cada pie.",34190,142,39200,22,Diseño
63,TATUADOR ITINERANTE,Vini Santos,Brasil,"Viajar por la América del Sur haciendo tatuajes de creaciones propias en las tecnicas acuarela, puntillismo y boceto. http://vinisantos.com",28510,141,16700,16,Artes visuales
64,"PATRIA, DE ALEJANDRO IPPOLITO",Alejandro,Argentina,"Este libro es para usted, para que no nos olvidemos, para abrazarnos en el papel como en las plazas del pueblo.",17438,140,11200,188,Editorial
65,EL NINJA SOLITARIO,KevinNax,México,El Ninja Solitario es una serie de video producida usando el videojuego Halo Reach (Machinima). ¡Sé parte del estreno y llévatelo a casa!,7000,140,5100,19,Cine y video
66,ÁLBUM SAUDÁ!,PIM PAU,Argentina,"El Álbum Saudá ya está grabado, mezclado y masterizado. Apenas falta la parte de gráfica y réplica. Queremos hacer 1000 cópias del nuevo CD!",3682,140,7200,44,Música
67,PARTICIPACIÓN SR.D LUMINARIA02,Häpe,Chile,"Sr.d ha sido seleccionado en Luminaria 02 que se realizará durante Marzo en los dos grandes mercados del barrio de Usera, Madrid, España.",44074,140,5800,20,Artes visuales
68,TWÍTTICAS: A POESIA CONCISA DO CONTEMPORÂNEO,Galldino,Brasil,Canções autorais inéditas baseadas na minimalista comunicação contemporânea aliada às obras de J. S. Bach e Florbela Espanca. Tudo dentro do,25311,139,4900,263,Música
69,LIBRO POLÍTICAS DEL DISCURSO,Nido de Vacas,Argentina,Queremos publicar el primer libro del filósofo Diego Singer.,27108,138,8100,183,Editorial
70,IMPRIMIENDO ABERRANTES,melisxmauriño,Argentina,¡Necesitamos tu ayuda para imprimir los 100 primeros Aberrantes!,3611,138,2200,17,Editorial
71,CERATI: PINTURA HOMENAJE.,MariaLeibovich,Argentina,"La pintura ""Almas al unísono"" será exhibida en la pared del Cementerio de la Chacarita, donde descansa Gustavo Cerati.",902,138,9200,19,Artes visuales
72,LANZAMIENTO DE ROSA ICEBERG,Marina Yuszczuk,Argentina,"Una nueva editorial de Emilia Erbetta, Tamara Tenenbaum y Marina Yuszczuk",22392,137,32300,240,Editorial
73,ÍNTIMOS EXTRAÑOS,Íntimos Extraños,Argentina,Cortometraje realizado por estudiantes de Diseño de Imagen y Sonido de la UBA.,3150,137,17500,326,Artes visuales
74,MARIANO GODOY // MUNDO VISUAL,Mariano Godoy,Argentina,Quiero fabricar mi disco en formato físico.,14801,137,6900,56,Música
75,CLUBE DA LEITURA: MODO DE USAR - VOL. II,Clube da Leitura vol II,Brasil,"Participe do livro do Clube da Leitura - contos dos frequentadores da Baratos, o sebo mais bacana do RJ.",20301,136,3900,57,Editorial
76,LA ÚLTIMA VEZ - CORTO,Sestra,Argentina,Cortometraje Final de 2do Año de la Carrera de Diseño de Imagen y Sonido (FADU - UBA),3784,136,13900,530,Artes visuales
77,EN EL UMBRAL DEL PRIMER DISCO,umbraltandil,Argentina,"Luego de 4 años y 1 año de pre-producción, ¡llegó el momento del disco! y queremos que seas parte de él. ¡Elegí como participar!",4469,136,12900,104,Música
78,LÁMPARA,Victoria de la Parra,Chile,Lámpara: “Cuerpo en plástica desaparición”:Performance- Instalación para espacios públicos!,3861,135,6600,7,Artes escénicas
79,HABLAN POR LA ESPALDA - SANGRE,Martín Solana,Uruguay,"Preventa para la recaudación del fondos del nuevo disco de HPLE, SANGRE, a salir en el 2015.",71333,135,19000,101,Música
80,WITOLDA,Congreso Gombrowicz,Argentina,La primera revista en español sobre Witold Gombrowicz.,19708,134,21200,181,Editorial
81,GRABACION DE MI NUEVO DISCO,Elizabeth Morris,Chile,Ayúdame a financiar la grabación de mi cuarto disco.,134595,134,24700,177,Música
82,EDICIÓN DEL LIBRO HABITAT,Editorial Casa de Gatos,Argentina,Habitat es un blog sobre historias de gente común que se la jugó por destinos poco convencionales. Ahora se convertirá en libro.,1663,133,5600,34,Editorial
83,¡AYUDANOS A POBLAR EL MUNDO!,Pueblacantoras,Argentina,Somos Puebla. Necesitamos ayuda para grabar nuestro 1er disco. Nos escuchan en: pueblacantoras.bandcamp.com,6552,133,6800,61,Música
84,ONI: JUGANDO EN JAPON MEDIEVAL,SebasKO,Argentina,"Un juego de cartas de memoria y engaño, donde encarnamos diablitos japoneses que pelean por hacer travesuras y ganar oro.",6499,132,19500,279,Editorial
85,THE TENEBRAE: EL LIBRO DE ARTE,Patricio Oliver,Argentina,"Libro de arte de Patricio Oliver (PO!) que compila todo su trabajo sobre The Tenebrae, su proyecto de personajes y juguetes.",23886,132,27600,283,Editorial
86,YARAD O LA ÚLTIMA ENMIENDA,El Silo,Argentina,YARAD o la última enmienda es una obra teatral que explora los vínculos entre los integrantes de una familia y su relación con el poder.,4314,132,13200,20,Artes escénicas
87,JACKELIN TIENE UN LÍMITE,Ariana Caruso,Argentina,"Espectáculo teatral Unipersonal de Ariana Caruso que reflexiona sobre el rol de la mujer, las relaciones enfermizas y el amor.",4333,132,9500,33,Artes escénicas
88,OEPA,Marina Haller,Argentina,"Otoño en Escandinavia, Primavera en Agronomía es un libro que vincula estos dos lugares a través de un paseo mediante Ilustraciones y fotos.",25732,131,19800,2642,Editorial
89,FABRICACIÓN DISCO JUAN NAZAR,Juan Nazar,Argentina,"Diente de león es el primer disco de Juan Nazar. Ya está listo, solo falta financiar esta ultima etapa para que el disco sea fabricado!",5144,131,6100,40,Música
90,ARTE ENCAPSULADO,Marta Minujin,Argentina,"Dos botellas en una. Cuando la adquieras, tendrás una sensación de incertidumbre. ¿Qué hacer? Beber el Adentro o quedarse con el Afuera",63146,131,38400,16,Artes visuales
91,ANUARIO DE ILUSTRADORES 2014,Anuario Ilustradores,Argentina,Un libro lleno de ilustraciones y posibilidades.,64089,130,57800,1740,Artes visuales
92,LIBRO DE ARTE MAGIA Y MÍSTICA,Jellyfish Editorial,Argentina,Este es un libro que compila 20 artistas visuales emergentes que trabajan con la temática de la magia y la mística.,14038,130,32300,160,Artes visuales
93,TERCERA CULTURA: #THELIBRO,Tercera Cultura,Chile,"Ayuda a Ricardo y a Remis a publicar su primer libro, una introducción a las Ciencias Cognitivas en el estilo de terceracultura.cl !!!",92952,130,30600,184,Editorial
94,LUZ,Ulises Puiggros,Argentina,"MEDIOMETRAJE ¿QUE HARIAS POR TU PADRE? Cuando el amor es nocivo, cual es tu salida? Basada en hechos reales. Nos ayudas?",8538,130,12800,53,Artes visuales
95,RISA FEST,Rafael Dante,Argentina,La calle es es de todos. Embellecerla es nuestro deber. Puerto Madryn se merece un Festival Internacional de Artistas callejeros a la gorra.,21307,130,13300,41,Artes escénicas
96,DISCO SAFE & SOUND-MARIA CUETO,mariacueto,Argentina,"Ayudá a terminar la producción del primer disco de Maria Cueto ""Safe and Sound"" Sé parte del proyecto!",57048,129,12700,51,Música
97,CLIPE JESUS,Banda Ganeshas,Brasil,"Para quem ainda não nos conhece, somos uma banda independente carioca que toca rock/mpb/pop/alternativa/folk/o-que-mais-der-na-telha.",5217,129,3600,27,Música
98,EL LIBRO DE DIBUJANTIS,Dibujantis,Argentina,"Quisiera que me ayudes a imprimir el compilado de mis dibujantis, que te los lleves a tu casa, y que los disfrutes! :)",12693,129,24500,222,Editorial
99,STATUS (REVISTA DE IMPRO),Feña Ortalli,Argentina,Status es una revista virtual sobre Improvisación Teatral que cuenta con 27 ediciones y con más de 500 suscriptores en todo el mundo.,2123,129,9200,59,Editorial
100,SOLTERAS & PERTURBADAS,cintiaperezaguero@gmail.com,Argentina,Solteras & Perturbadas es la recopilación de los textos de mi blog,8464,129,3500,34,Editorial
101,CADA DÍA UNA COPITA VOL2,Paio,Argentina,"""Cada día una copita"" vol. 2 es una recopilación de viñetas de humor gráfico realizadas entre 2011 y 2013 x Paio Zuloaga.",10536,128,13900,106,Editorial
102,CD JOANA QUEIROZ QUARTETO,Joana Queiroz,Brasil,"Gravação do disco ""Joana Queiroz Quarteto"" com encarte feito pelo artista Raimundo Peres.",31280,128,4100,54,Música
103,HAY MILANESA!,Gorfinkel,Argentina,128 páginas de humor y dibujitos.,20085,128,21700,270,Editorial
104,¿QUIÉN MATÓ A NISMAN?,Pablo Duggan,Argentina,Es un libro de investigación sobre la muerte del fiscal federal Alberto Nisman.,105365,128,31800,580,Editorial
105,AYUDANOS A LANZAR NUESTRO CD,Capella Peregrina,Argentina,"Hola, somos Capella Peregrina, hemos concretado el sueño de grabar y ahora necesitamos dar el siguiente paso: lanzar nuestro primer CD",33562,128,2900,37,Música
106,ISABEL - TESIS ENERC,anakohring,Argentina,Somos un grupo estudiantes de la ENERC y necesitamos financiamiento para filmar nuestra Tesis Isabel.,12549,128,3100,38,Cine y video
107,"CINESCALAS, LA PELÍCULA",Milagros Amondaray,Argentina,"El documental que muestra cómo el blog unió a muchas personas alrededor de todo el país, excediendo los límites de lo virtual",8366,128,15400,78,Cine y video
108,PRIMER DISCO DE AQVILES,Aqviles Rock,Chile,Queremos invitarte a ser parte de la grabación y edición de nuestro primer disco y ayudarnos a cumplir este sueño.,14586,127,7100,19,Música
109,LIBRO JORGE DE LOS RIOS,Adrian Paglini,Argentina,"Libro que recopila historia y mejores trabajos del artista que realizó figuritas, tapas de Anteojito y Canal TV e infinidad de caricaturas.",37451,127,24100,87,Editorial
110,SINUOSOS & DORADOS MÉDANOS,sinuososydorados,Argentina,Un grupo de artistas de un pueblo de 5000 habitantes situado al comienzo de la Patagonia convive con la utopía de no abandonarlo.,4159,127,11300,42,Artes visuales
111,AGENDA PUM PUM 2014,PUM PUM,Argentina,Agenda Pum Pum 2014. ilustrada y diseñada en todos sus detalles. Con tu ayuda sumamos para que la Agenda nos acompañe todo el año!,18789,127,43500,343,Artes visuales
112,HARALD & REGINA,marinaleon,Argentina,"Un cuento ilustrado sobre la historia de mis abuelos, dos eternos novios.",6258,127,15400,87,Editorial
113,CASAMIENTO,Laura Loredo Rubio,Argentina,"Ex pareja se reencuentra en el casamiento de sus respectivos padres. Se conocieron por ellos. Ella aún lo ama, él viene con su nueva novia.",2075,127,7400,38,Artes escénicas
114,SANTOS DE YESO,Nico Sorrivas,Argentina,Necesitamos tu ayuda para terminar de armar la escenografía y el vestuario de nuestra obra. Estrenamos en Septiembre!,4565,127,8300,151,Artes escénicas
115,"LIBRO ""PROYECTO MANICOMIO""",jsequeira,Argentina,Un libro para humanizar la medicina y la salud.,10162,126,2300,56,Editorial
116,GIRA DE MIEL :: SOFÍA Y JULIAN,Julian Mourin y Sofia Urruti,Argentina,Una pareja de músicos y un viaje de 3 meses por la Argentina dando un taller gratuito de música popular argentina para niños y recitales.,6194,126,12600,51,Música
117,LIBRO SOBRE WITOLD GOMBROWICZ,Congreso Gombrowicz,Argentina,Queremos editar un libro con las 40 ilustraciones originales de la muestra del I Congreso Internacional Witold Gombrowicz.,8288,126,19300,146,Artes visuales
118,AGUA DULCE,ideas liquidas,Argentina,"agua dulce, una obra de teatro.",2065,126,7600,25,Artes visuales
119,LOS 3 DISCOS DE JULIO Y AGOSTO,julioyagosto,Argentina,"Somos Julio y Agosto, una banda de Bs. As. Argentina. Necesitamos tu colaboración para fabricar nuestros 3 discos. julioyagosto.bandcamp.com",10307,126,23700,285,Música
120,PAREDÓN,Autobombo Compañía Teatral,Argentina,El nuevo grotesco de la Compañía Teatral Autobombo necesita de tu colaboración.,10343,126,9200,90,Artes escénicas
121,OJALÁ VUELVA CUALCA!,Cualca,Argentina,Queremos hacer la segunda temporada de CUALCA! ¿Nos ayudás?,80247,125,299600,2331,Cine y video
122,DISCO VERDE DE RODRIGO ROBLES,RODRIGO ROBLES,México,El Disco Verde se editará en un empaque 100% reciclado que incluirá un papel semilla que podrás plantar para darle vida a un árbol.,165717,125,30300,101,Diseño
123,CHICAS AMPLIFICADAS 2019,chicasamplificadas,Argentina,"Segunda Colonia de rock para niñas y adolescentes de Argentina!Crearán sus bandas, sus propios temas y participaran de diferentes talleres",20539,125,6800,118,Música
124,O CAPA-BRANCA | JUQUERY,Daniel Navarro,Brasil,"Livro surpreendente sobre as memórias de ex-funcionário que também foi paciente do Complexo Hospitalar Juquery, em Franco da Rocha",22909,125,15200,74,Editorial
125,ANTARES DESPUÉS DE LA LUZ,cia.ladogna,Chile,"Tercer montaje de la Cía. la Doña, dirigida por Videla's Bros y escrita por Enrique Videla. AYÚDANOS A FINANCIAR NUESTRA ESCENOGRAFÍA!!!",28744,125,10700,61,Artes escénicas
126,FERNANDO GARCÍA CURTEN - LIBRO,Milena Caserola Editorial,Argentina,El libro busca dar cuenta de la vida y la obra de uno de los artistas argentinos más secretamente reconocidos de los últimos años.,12320,125,8400,110,Editorial
127,VOLANTÍN AL VIENTO,victor,Chile,"Disco musical (CD) póstumo del cantautor penquista (Chile) Patricio ""Silvio"" Escobar",17847,124,6700,35,Música
128,LA GRAN TENTACIÓN,Elisa Naranja Metalica Insua,Argentina,"Gran escultura barroca y sobrecargada, con forma de helado en cono, representando las tentaciones, placeres y vicios de la vida moderna",5628,124,13700,29,Artes visuales
129,A GAIVOTA,A Gaivota,Brasil,"Espetáculo A Gaivota, texto de Tchekhov EM CENA.",6046,124,6300,30,Artes escénicas
130,TRAPALANDA / NUEVO DISCO,nachoragone,Argentina,"Con tu colaboración vamos a poder terminar nuestro segundo disco ""La Cabeza de Goliat""",14262,124,7100,63,Música
131,¡TAMBORCIT@S GRABANDO!,Luciano Molina,Argentina,"Grabamos nuestro primer disco, un disco para toda la familia con 10 canciones de María Elena grabado por los chic@s de Los Tamborcit@s.",13000,124,6200,113,Música
132,"AYURVEDA, RECETARIO ESTACIONAL",Andi Vatika,Argentina,"Ayurveda Filosofía y Recetario Estacional es un libro pensado para acercar la filosofía Ayurveda a todos, de una forma sencilla y divertida.",16324,124,21700,87,Editorial
133,OTRO CAMINO,LimaLimones,Argentina,"Otro Camino es una obra independiente de danza contemporánea, necesitamos montar escenografía y realizar los vestuarios ¿Nos ayudas?",2010,123,2800,11,Artes escénicas
134,"""SOÑAR SOÑAR"" EL VIDEO CLIP",Como Diamantes Telepáticos,Argentina,"Hola! somos Como Diamantes Telepáticos, una banda Argentina. Necesitamos de TU COLABORACIÓN para terminar de filmar nuestro video, GRACIAS!",4036,123,8800,48,Cine y video
135,MAÑANA SERÁ HISTORIA.,Marco Teruggi,Argentina,"Se trata de un diario que narra la vida actual en Venezuela, sus acontecimientos políticos, económicos, personales, sus paisajes y gente.",24183,123,6400,73,Editorial
136,LOS IDIOTAS,maruceballos,Argentina,libro con ilustraciones sobre 58 personas que cedieron su peor cara para comprobar qué decimos sobre nosotros mismos en las redes sociales,8285,123,25300,149,Editorial
137,NUEVO DISCO PARA LIVINGSTONE,alvarovilca,Chile,Livingstone graba su segundo disco y quiere que todos sean parte del último proceso que involucra la mezcla y masterización del disco.,53083,123,8100,94,Música
