,Proyecto,Autor(a),País,Descripción,Descripción (limpia),Palabras clave,Recaudación,Porcentaje,Vistas,Colaboradores,Categoría
0,VIOLENTINA - UM JOGO MARGINAL DE CONTAR HISTÓRIAS,Eduardo Caetano,Brasil,"Publicação do RPG Violentina, um jogo sobre Violência, Vícios, Volúpia... e nem um Vintém.",publicação rpg violentina jogo violência vícios volúpia vintém, volupia   rpg   vicios ,37172,459,6600,116,Editorial
1,CARD GOBLINS,Coisinha Verde Games,Brasil,Um incrível jogo de cartas onde cada jogador controla uma horda de caóticos e fracotes goblins!,incrível jogo cartas onde cada jogador controla horda caóticos fracotes goblins, jogo   caoticos fracotes ,44100,363,9300,225,Editorial
2,"CHACABUCO, LA PELÍCULA",CHACABUCO,Argentina,Somos un grupo de estudiantes de Diseño de Imagen y Sonido (FADU – UBA). CHACABUCO es nuestra ópera prima y tesis final de la carrera.,grupo estudiantes diseño imagen sonido fadu uba chacabuco ópera prima tesis final carrera, estudiantes   final   diseno ,8177,357,25300,851,Cine y video
3,DUNGEON MONSTERS: THE CARD GAME,Helio Greca,Brasil,Aqui não basta matar o monstro mais poderoso. Você deve matar todos eles - e antes dos seus oponentes!,aqui basta matar monstro poderoso deve matar oponentes, basta matar   poderoso ,45353,320,11900,204,Editorial
4,EL DISCO DE LA CHUCK NORRIS!!!,Alfonso Salas,Argentina,La Chuck Norris Band grabó su primer disco y sólo nos falta HACER las copias! Sé nuestro productor!!! Ofrecemos muuchas recompensas!,chuck norris band grabó primer disco sólo falta hacer copias sé productor ofrecemos muuchas recompensas, ofrecemos muuchas   norris ,59113,302,18100,100,Música
5,NO LO TESTEAMOS EXPANSIONES,Bureau de Juegos,Argentina,"Dos nuevas expansiones del No Lo Testeamos Ni Un Poco: KINÉTICO, con cartas que te van a hacer mover y PICANTE, la expansión ""hot"".",nuevas expansiones testeamos kinético cartas van hacer mover picante expansión hot, expansion   expansiones   picante ,19699,301,48400,395,Editorial
6,SÉ PARTE DEL ANUARIO GATO 2015,El Gato y La Caja,Argentina,Una primera vuelta al Sol usando el arte y el diseño para estrellar la ciencia contra el resto de la cultura.,primera vuelta sol usando arte diseño estrellar ciencia resto cultura, resto   vuelta sol ,81089,275,58600,990,Editorial
7,"""LA NOCHE BOCA ARRIBA""",aemea,Argentina,"adaptación de un cuento del escritor argentino Julio Cortázar, 2da etapa de rodaje a filmar en Noviembre en el Delta del Paraná.",adaptación cuento escritor argentino julio cortázar 2da etapa rodaje filmar noviembre delta paraná, rodaje   cuento   julio ,882,270,10300,8,Artes visuales
8,QUE SALGA CAPITAN BARATO 2,Daniel Müller,Argentina,Queremos llegar a todo el país con las aventuras de Capitan Barato y Miss Capi! Con tu ayuda lo podemos hacer posible!,queremos llegar país aventuras capitan barato miss capi ayuda podemos hacer posible, llegar   podemos hacer ,5866,256,9900,53,Editorial
9,LA RUTA SANADORA,sofi patalano,Argentina,Somos una familia unida por este proyecto. Queremos publicar el libro que escribio nuestro padre. Una historia sumamente inspiradora y rica.,familia unida proyecto queremos publicar libro escribio padre historia sumamente inspiradora rica, inspiradora   unida proyecto ,2369,241,16400,30,Editorial
10,KOJAK - EL PASTOR DEL RING,Fran Ariza,Argentina,Proyecto de serie basada en la vida del ex-boxeador Ricardo Kojak Silva desde su infancia hasta la pelea de su vida en Estados Unidos.,proyecto serie basada vida exboxeador ricardo kojak silva infancia pelea vida unidos, serie basada vida ,12467,238,4300,9,Cine y video
11,SIMA PRESENTA NOVELA GRÁFICA,Noseso Records,Argentina,Pre-venta de Novela Gráfica el discómic de SIMA.,preventa novela gráfica discómic sima, novela   discomic   grafica ,23793,227,38600,224,Música
12,NACÍ AYER - SERIE WEB,Nací Ayer,Argentina,"Serie web de seis capítulos que transitan la vida de Sofía, tras su ruptura amorosa, acompañada de su hermana, su prima y su mejor amiga.",serie web seis capítulos transitan vida sofía tras ruptura amorosa acompañada hermana prima mejor amiga, mejor   web seis ,25752,225,16800,98,Cine y video
13,ARMONICISTA ARGENTINA LANZA SU 1ER DVD + CD Y VA POR SU VIDEO CLIP !!!,Sandra Vazquez,Argentina,"¿queres ser parte de mi DVD + CD?, queres participar en mi VIDEO CLIP?? , QUEDA POCO TIEMPO Y NOS FALTA MUY POCO !!! AYUDAMEEE !!!",queres ser parte dvd cd queres participar video clip queda tiempo falta ayudameee, parte   tiempo falta ,8507,216,20000,137,Artes visuales
14,"INVISIBLE A LOS OJOS, EL LIBRO",InvisibleALosOjos,Argentina,Somos Invisible a los Ojos pero queremos hacernos ver. Llevate el libro de El principito con cientos de ilustraciones de todo el mundo.,invisible ojos queremos hacernos ver llevate libro principito cientos ilustraciones mundo, ojos   cientos ilustraciones ,65978,212,45500,561,Editorial
15,LUZ AL INSTANTE,Vuela el Pez,Argentina,"“Luz al Instante” es un disco de 16 canciones originales e inéditas inspiradas en Luis Alberto Spinetta, hecho por 16 solistas y bandas.",luz instante disco canciones originales inéditas inspiradas luis alberto spinetta hecho solistas bandas, instante   hecho solistas ,15820,210,34500,338,Música
16,MAGOS & TABERNAS,adriannovell,Argentina,"""Magos y Tabernas"" es un juego de mesa para 3 o 4 jugadores, donde un grupo de magos luchan por la última cerveza de la taberna.",magos tabernas juego mesa jugadores grupo magos luchan última cerveza taberna, taberna   magos tabernas   jugadores ,13350,204,11500,76,Juegos
17,LOSVIAJES DEL CAPITÁN FOUCAULT,SebasKO,Argentina,Filosofos extraterrestres encuentran la tierra y deben debatir como salvarnos de nosotros mismos. Un juego de mesa como nunca jugaste antes.,filosofos extraterrestres encuentran tierra deben debatir salvarnos mismos juego mesa nunca jugaste, extraterrestres   mesa nunca ,9882,201,17200,137,Juegos
18,DE BOEDO A MARRAKECH!,Darío Gabriel Rosemblat,Argentina,El libro de la EPOPEYA RECORD de SAN LORENZO en MARRUECOS es un LEGADO ÚNICO! Conseguilo solo por este medio y hasta el 23-12!,libro epopeya record san lorenzo marruecos legado único conseguilo solo medio, solo   epopeya record ,56234,197,23300,284,Editorial
19,PARTÍCULA,ElectroShockeC,Argentina,Fiesta electrónica Multimedia + Filmación de largometraje en vivo. LA UNION HACE LA FIESTA! . VOS . FORMAS . PARTE .,fiesta electrónica multimedia filmación largometraje vivo union hace fiesta formas parte, fiesta   formas   largometraje ,22337,195,28300,86,Artes visuales
20,MIRAMAR,Ramiro Chaves,México,"Exposición de los intrigantes paisajes fotográficos de Ramiro Chaves en un espacio público de Laguna de Mar Chiquita, Córdoba, Argentina.",exposición intrigantes paisajes fotográficos ramiro chaves espacio público laguna mar chiquita córdoba argentina, cordoba   intrigantes paisajes ,136257,195,21100,80,Artes visuales
21,ATRÁS DE TODO DETRÁS,matiasgoldin,Argentina,"Investigacion,construcción y puesta en escena de una obra de danza contemporánea,tesis de graduacion de la Universidad Nacional de las Artes",investigacionconstrucción puesta escena obra danza contemporáneatesis graduacion universidad nacional artes, puesta   universidad nacional ,6361,194,10200,214,Artes escénicas
22,IDEA IN PROGRESS,arielanotariana,Argentina,mi primer fanzine. la película de mis ojos a través de una analógica prestada y mis notas del celular.,primer fanzine película ojos través analógica prestada notas celular, fanzine   prestada notas ,1863,190,1200,16,Artes visuales
23,PRIMER CD DE LUCAS GIULIANI,Lucas Giuliani,Argentina,"Soy Lucas Giuliani y quiero terminar de editar mi primer album ""BUEN VIAJE, BON VOYAGE"" pero para eso necesito de tu colaboración!",lucas giuliani quiero terminar editar primer album buen viaje bon voyage necesito colaboración, necesito   giuliani quiero ,5670,183,15300,135,Música
24,LO QUE EL VIENTO ME DEJÓ,Laura Varsky,Argentina,"Una serie de textos que han sido dibujados y un libro que narra su proceso creativo: su historia, bocetos y objetos que lo inspiraron.",serie textos sido dibujados libro narra proceso creativo historia bocetos objetos inspiraron, objetos   textos sido ,55895,179,20700,57,Editorial
25,CASA CHAUCHA - EL LIBRO,Casa Chaucha,Argentina,"Después de 4 años, 120 casas y 20.000 fotos, queremos editar un libro.",después años casas fotos queremos editar libro, editar   anos casas ,41692,172,72100,706,Editorial
26,"EP: ""THE SEARCH: PARTE 1""",Benjamín Lechuga González,Chile,"Se busca recaudar fondos para poder mezclar, masterizar, hacer el arte y lanzar de manera digital mi nuevo EP solista de 4 tracks",busca recaudar fondos poder mezclar masterizar hacer arte lanzar manera digital nuevo ep solista tracks, digital   recaudar fondos ,40928,168,16500,87,Música
27,AYUDANOS A EDITAR EL VINILO,Scatter Records,Argentina,"The Tormentos tienen nuevo disco ""The Tormentos... Ejecutan el Macabro Plan"" ayudalos a editarlo en vinilo.",tormentos nuevo disco tormentos ejecutan macabro plan ayudalos editarlo vinilo, tormentos   ayudalos editarlo ,29870,166,11700,138,Música
28,EL PERFECTO LUGAR EQUIVOCADO,Azucena Galettini,Argentina,"Publicar una novela siempre es una apuesta, más en estos tiempos. Te invitamos a apoyar la cultura y hacer que esta ficción cobre realidad.",publicar novela siempre apuesta tiempos invitamos apoyar cultura hacer ficción cobre realidad, novela   ficcion cobre ,13484,165,5100,87,Editorial
29,POKÉRUS - NUEVA MÚSICA VGM,Pokerus Project,Chile,Ayúdanos a publicar toda la nueva música de Videojuegos que tenemos lista para este año!,ayúdanos publicar toda nueva música videojuegos lista año, publicar   videojuegos lista ,18590,162,2700,34,Música
30,ÉRASE UNA VEZ EN BUENOS AIRES,diego labat,Argentina,"Segundo largometraje de los creadores de la fantástica ""La máquina que escupe monstruos y la chica de mis sueños"". Ayudanos a hacer una más.",segundo largometraje creadores fantástica máquina escupe monstruos chica sueños ayudanos hacer, largometraje   suenos ayudanos ,7958,162,21800,159,Artes visuales
31,"PREVENTA ""80 AÑOS NO SON NADA""",80AñosNoSonNada,Argentina,"Un libro que reúne algunas de las historias de un alma viajera que, a bordo de su casa móvil, recorre los caminos de América Latina.",libro reúne historias alma viajera bordo casa móvil recorre caminos américa latina, america   reune   caminos ,52942,162,6500,194,Editorial
32,PROYECTO MIGRA,flor valeri,Argentina,Proyecto Migra es una cooperativa Cultural. Tenemos una carpa que será un teatro móvil y necesitamos un trailer para poder trasladarla.,proyecto migra cooperativa cultural carpa teatro móvil necesitamos trailer poder trasladarla, migra   trailer poder ,18628,162,14500,67,Artes escénicas
33,UN LIBRO FUNDAMENTALISTA,Fundamentalista de Ciudad,Argentina,"Después de mucho trabajo y FADU recorrida, y con el apoyo de Wolkowicz Editores, voy por el sueño del primer libro en su tipo de la facultad",después trabajo fadu recorrida apoyo wolkowicz editores voy sueño primer libro tipo facultad, tipo   trabajo fadu ,62989,160,19800,491,Editorial
34,"CD ""OUTROS HERÓIS"" - PÉRICLES GARCIA",Péricles Garcia,Brasil,"Contribua para que o CD ""Outros Heróis"", 3º disco do cantor mineiro Péricles Garcia, se torne realidade!",contribua cd outros heróis 3º disco cantor mineiro péricles garcia torne realidade, cantor   garcia torne ,38644,159,9000,119,Música
35,FIN DE FIESTA,Jo Pieres,Argentina,Un grupo de amigos se reúne para despedir la quinta de su juventud pero al pasar las horas terminarán despidiendo también su amistad.,grupo amigos reúne despedir quinta juventud pasar horas terminarán despidiendo amistad, amigos   terminaran despidiendo ,15611,159,17400,360,Cine y video
36,"SOY SOLO, LIBRO DE LIDERAZGO",Leo Piccioli,Argentina,"Un libro de negocios diferente, divertido, en primera persona, con muchas historias y aprendizajes para emprendedores y líderes.",libro negocios diferente divertido primera persona muchas historias aprendizajes emprendedores líderes, negocios   aprendizajes emprendedores ,41407,158,34000,289,Editorial
37,LIBRO DE JELLYKID!,LeaCaballero,Argentina,"¡Por fín llegó el momento! Todas las historietas de Jellykid recopiladas en un único libro, y con tu ayuda ¡podemos hacerlo realidad!",fín llegó momento todas historietas jellykid recopiladas único libro ayuda podemos hacerlo realidad, llego   podemos hacerlo ,2850,158,10500,119,Editorial
38,CIUDADANO ILUSTRE,Vera Mignaqui,Argentina,"Un juego de preguntas y respuestas –con un toque de estrategia- sobre actualidad argentina para pensar, deducir y divertirse",juego preguntas respuestas toque estrategia actualidad argentina pensar deducir divertirse, deducir   preguntas respuestas ,6128,156,11300,46,Juegos
39,ENTRE - CORTOMETRAJE DE TERROR,SewatiAudiovisual,Argentina,"Una casa, una noche, una persona sola, una visita inesperada....",casa noche persona sola visita inesperada, visita   noche persona ,2533,155,3100,4,Cine y video
40,VOLVER AL FUTURO - TORMENTA,Tormenta,Argentina,"Tirada especial de 10 Clasicos de Tormenta, serigrafia artesanal limitada de autor. Imagenes que destacamos en nuestro recorrido",tirada especial clasicos tormenta serigrafia artesanal limitada autor imagenes destacamos recorrido, destacamos   especial clasicos ,3567,155,20300,191,Diseño
41,UN CORTO DE ARTES MARCIALES,Juan Fernando,Argentina,Un corto de artes marciales inspirado en el trabajo de Jackie-Chan. Soy estudiante de cine y este será mi último corto como estudiante.,corto artes marciales inspirado trabajo jackiechan estudiante cine último corto estudiante, corto   estudiante   inspirado ,7909,155,2400,22,Cine y video
42,EL CRUCE DE LOS UNDERS,Nahuel Briones,Argentina,Disco de NAHUEL BRIONES + ORQUESTA PERA REFLEXIVA // Subite a la mula colectiva y hagamos juntos EL CRUCE DE LOS UNDERS,disco nahuel briones orquesta pera reflexiva subite mula colectiva hagamos juntos cruce unders, cruce   nahuel briones ,15147,154,12900,2693,Música
43,ONIÓN,JPZaramella,Argentina,"Un corto que combina actores en vivo con animación, narrado entre la realidad y lo onírico, mucho humor, y una marcada identidad visual.",corto combina actores vivo animación narrado realidad onírico humor marcada identidad visual, identidad   combina actores ,30171,153,27600,168,Cine y video
44,SIN PELOS...NI EN LA LENGUA,cristinalinares,Argentina,"Un libro de experiencias, sentimientos, éxitos y fracasos de mujeres reales. Cuentos entretenidos que nos identifican.",libro experiencias sentimientos éxitos fracasos mujeres reales cuentos entretenidos identifican, entretenidos   experiencias sentimientos ,2492,152,9300,40,Editorial
45,ENCUENTRO DE JUEGOS DE MESA,Emmanuel Cesar Rubio,Argentina,¡Apoyo para reunir a todos los Diseñadores de Juegos de Mesa del país en el 5ºENJM en Córdoba!,apoyo reunir diseñadores juegos mesa país 5ºenjm córdoba, reunir   ºenjm   disenadores ,2974,151,6300,11,Juegos
46,PSYCHOPOMP: BUNNY LOVE,Gutter Glitter,Argentina,Los invitamos a participar para expandir la tirada de nuestra próxima antología de historietas y cuentos breves de género erótico.,invitamos participar expandir tirada próxima antología historietas cuentos breves género erótico, participar   genero   breves ,2467,151,12600,36,Editorial
47,MARACAS ESPECIEROS DE VIDRIO,Autor(a) desconocido(a),México,"Mi proyecto es poner en producción Maracas. Maracas son tres diferentes especieros para sal, pimienta, azucar o tu especia favorita.",proyecto poner producción maracas maracas tres diferentes especieros sal pimienta azucar especia favorita, maracas   especia   poner ,67950,151,25100,29,Diseño
48,DICIEMBRE,Cooperativa Sub,Argentina,Este libro contiene el primer ensayo de la Cooperativa Sub. Narra el clima de crisis y revuelta que vivió Argentina en diciembre del 2001.,libro contiene primer ensayo cooperativa sub narra clima crisis revuelta vivió argentina diciembre, argentina   contiene primer ,24134,150,16600,321,Editorial
49,"SARU, EL NIÑO ARGENTINO",AnaSaru,Argentina,Se trata de un libro que recorre toda la trayectoria profesional de Jorge Sarudiansky.,trata libro recorre toda trayectoria profesional jorge sarudiansky, jorge   libro recorre ,29281,149,16300,134,Editorial
50,VIDEOCLIPE MARCELLA CAMPÊLO,Fernanda Maria Matheus Bartholo Campelo,Brasil,Gravação do primeiro videoclipe da cantora mirim Marcella Campêlo.,gravação primeiro videoclipe cantora mirim marcella campêlo, primeiro   mirim marcella ,12112,149,7600,40,Música
51,¡AYUDANOS A REALIZAR REMAKE!,Remake,Argentina,"Somos un equipo de curadoras independientes y necesitamos fondos para cubrir los gastos de Remake, exposición de arte. ¿Nos ayudás? ¡ENTRÁ!",equipo curadoras independientes necesitamos fondos cubrir gastos remake exposición arte ayudás entrá, ayudas   curadoras independientes ,1217,149,8700,55,Artes visuales
52,LA WAGNER,La Wagner,Argentina,"Nueva obra del coreógrafo y director Pablo Rotemberg, inspirada en la controvertida figura del compositor alemán.",nueva obra coreógrafo director pablo rotemberg inspirada controvertida figura compositor alemán, compositor   obra   coreografo ,3175,149,13600,51,Artes escénicas
53,"ALTERTANGO , QUINTO DISCO , EL PROYECTO..",Altertango,Argentina,"Estamos por empezar a grabar nuestro quinto disco , compuesto por canciones nuestras. Necesitamos tu apoyo para cumplir nuestro objetivo.",empezar grabar quinto disco compuesto canciones necesitamos apoyo cumplir objetivo, cumplir   grabar quinto ,9673,148,11000,102,Música
54,SOMBRA DE OJOS,Francisca Salas Vicencio,Chile,Dos personajes solitarios se enfrentan a la hostilidad de los años 90' en Chile. Una mirada poética acerca del VIH y su estigma social.,personajes solitarios enfrentan hostilidad años chile mirada poética acerca vih estigma social, solitarios   vih estigma ,12699,148,8300,24,Cine y video
55,MUESTRA EN MIAMI,Gabriela Piserchia,Argentina,Estoy juntando fondos para participar con mis obras de las ferias MIA y Palm Beach Fair en Miami a principios de Enero 2014,juntando fondos participar obras ferias mia palm beach fair miami principios enero, fondos   miami principios ,1193,146,11000,176,Artes visuales
56,RABIA,Plancton Audiovisual,Argentina,Cortometraje Thriller-Suspenso para TESIS UBA.,cortometraje thrillersuspenso tesis uba, uba ,14150,144,2500,63,Cine y video
57,CANCIONES DE LA CHINA,Sofia Aristarain,Argentina,Un disco que nació en la China necesita de tu ayuda para salir a la luz.,disco nació china necesita ayuda salir luz, nacio   ayuda salir ,7059,144,10400,54,Música
58,DIVINO BAROLO,ZKYSKY,Argentina,"“Divino Barolo” un delicioso libro con fotos, personajes y claves para conocer el edificio más extravagante de Buenos Aires.",divino barolo delicioso libro fotos personajes claves conocer edificio extravagante buenos aires, buenos   barolo delicioso ,21118,143,33500,266,Editorial
59,(QUÉ) MUDA,(qué) MUDA,Argentina,Historias de mudanzas reales que nos llevan a reflexionar acerca de nuestras libertades y sujeciones en el entramado de aquello (que) MUDA.,historias mudanzas reales llevan reflexionar acerca libertades sujeciones entramado aquello muda, mudanzas   entramado aquello ,3758,143,5900,20,Artes escénicas
60,LAS TRANQUI TORRES,tranquiyanqui,Argentina,"Un símbolo poderoso de Tranquilandia. Las Tranqui Torres representan el mundo Miami-Porteño, Yanqui-Argento, creado por Tranqui Yanqui.",símbolo poderoso tranquilandia tranqui torres representan mundo miamiporteño yanquiargento creado tranqui yanqui, poderoso tranquilandia tranqui ,20577,142,9500,18,Artes visuales
61,PURPLE COMICS LIBRO 2014!,LeaCaballero,Argentina,"Ayudanos a imprimir nuestro 1er libro, que incluirá 4 historietas de aventuras y acción enteras, hechas por jóvenes autores argentinos!",ayudanos imprimir 1er libro incluirá historietas aventuras acción enteras hechas jóvenes autores argentinos, incluira   jovenes autores ,2332,142,10700,32,Editorial
62,BANANA FISH ZAPATOS,Juanabanana,Argentina,"Regresa la vieja escuela con estos cancheros, trendy, trash, glamourosos, nerd, punk, paquetérrimos zapatos. Usar uno en cada pie.",regresa vieja escuela cancheros trendy trash glamourosos nerd punk paquetérrimos zapatos usar cada pie, cada   vieja escuela ,34190,142,39200,22,Diseño
63,TATUADOR ITINERANTE,Vini Santos,Brasil,"Viajar por la América del Sur haciendo tatuajes de creaciones propias en las tecnicas acuarela, puntillismo y boceto. http://vinisantos.com",viajar américa sur haciendo tatuajes creaciones propias tecnicas acuarela puntillismo boceto, puntillismo   america sur ,28510,141,16700,16,Artes visuales
64,"PATRIA, DE ALEJANDRO IPPOLITO",Alejandro,Argentina,"Este libro es para usted, para que no nos olvidemos, para abrazarnos en el papel como en las plazas del pueblo.",libro usted olvidemos abrazarnos papel plazas pueblo, usted   papel plazas ,17438,140,11200,188,Editorial
65,EL NINJA SOLITARIO,KevinNax,México,El Ninja Solitario es una serie de video producida usando el videojuego Halo Reach (Machinima). ¡Sé parte del estreno y llévatelo a casa!,ninja solitario serie video producida usando videojuego halo reach machinima sé parte estreno llévatelo casa, llevatelo   estreno   solitario ,7000,140,5100,19,Cine y video
66,ÁLBUM SAUDÁ!,PIM PAU,Argentina,"El Álbum Saudá ya está grabado, mezclado y masterizado. Apenas falta la parte de gráfica y réplica. Queremos hacer 1000 cópias del nuevo CD!",álbum saudá grabado mezclado masterizado apenas falta parte gráfica réplica queremos hacer cópias nuevo cd, copias   sauda   hacer ,3682,140,7200,44,Música
67,PARTICIPACIÓN SR.D LUMINARIA02,Häpe,Chile,"Sr.d ha sido seleccionado en Luminaria 02 que se realizará durante Marzo en los dos grandes mercados del barrio de Usera, Madrid, España.",srd sido seleccionado luminaria realizará marzo grandes mercados barrio usera madrid españa, madrid   sido seleccionado ,44074,140,5800,20,Artes visuales
68,TWÍTTICAS: A POESIA CONCISA DO CONTEMPORÂNEO,Galldino,Brasil,Canções autorais inéditas baseadas na minimalista comunicação contemporânea aliada às obras de J. S. Bach e Florbela Espanca. Tudo dentro do,canções autorais inéditas baseadas minimalista comunicação contemporânea aliada obras j bach florbela espanca tudo dentro, florbela espanca tudo ,25311,139,4900,263,Música
69,LIBRO POLÍTICAS DEL DISCURSO,Nido de Vacas,Argentina,Queremos publicar el primer libro del filósofo Diego Singer.,queremos publicar primer libro filósofo diego singer, diego   publicar primer ,27108,138,8100,183,Editorial
70,IMPRIMIENDO ABERRANTES,melisxmauriño,Argentina,¡Necesitamos tu ayuda para imprimir los 100 primeros Aberrantes!,necesitamos ayuda imprimir primeros aberrantes, ayuda imprimir primeros ,3611,138,2200,17,Editorial
71,CERATI: PINTURA HOMENAJE.,MariaLeibovich,Argentina,"La pintura ""Almas al unísono"" será exhibida en la pared del Cementerio de la Chacarita, donde descansa Gustavo Cerati.",pintura almas unísono exhibida pared cementerio chacarita descansa gustavo cerati, almas   gustavo   unisono ,902,138,9200,19,Artes visuales
72,LANZAMIENTO DE ROSA ICEBERG,Marina Yuszczuk,Argentina,"Una nueva editorial de Emilia Erbetta, Tamara Tenenbaum y Marina Yuszczuk",nueva editorial emilia erbetta tamara tenenbaum marina yuszczuk, marina   editorial emilia ,22392,137,32300,240,Editorial
73,ÍNTIMOS EXTRAÑOS,Íntimos Extraños,Argentina,Cortometraje realizado por estudiantes de Diseño de Imagen y Sonido de la UBA.,cortometraje realizado estudiantes diseño imagen sonido uba, sonido   realizado estudiantes ,3150,137,17500,326,Artes visuales
74,MARIANO GODOY // MUNDO VISUAL,Mariano Godoy,Argentina,Quiero fabricar mi disco en formato físico.,quiero fabricar disco formato físico, fabricar disco formato ,14801,137,6900,56,Música
75,CLUBE DA LEITURA: MODO DE USAR - VOL. II,Clube da Leitura vol II,Brasil,"Participe do livro do Clube da Leitura - contos dos frequentadores da Baratos, o sebo mais bacana do RJ.",participe livro clube leitura contos frequentadores baratos sebo bacana rj, livro   baratos sebo ,20301,136,3900,57,Editorial
76,LA ÚLTIMA VEZ - CORTO,Sestra,Argentina,Cortometraje Final de 2do Año de la Carrera de Diseño de Imagen y Sonido (FADU - UBA),cortometraje final 2do año carrera diseño imagen sonido fadu uba, carrera   fadu   diseno ,3784,136,13900,530,Artes visuales
77,EN EL UMBRAL DEL PRIMER DISCO,umbraltandil,Argentina,"Luego de 4 años y 1 año de pre-producción, ¡llegó el momento del disco! y queremos que seas parte de él. ¡Elegí como participar!",luego años año preproducción llegó momento disco queremos parte elegí participar, anos   ano   elegi   parte ,4469,136,12900,104,Música
78,LÁMPARA,Victoria de la Parra,Chile,Lámpara: “Cuerpo en plástica desaparición”:Performance- Instalación para espacios públicos!,lámpara cuerpo plástica desapariciónperformance instalación espacios públicos, cuerpo   instalacion espacios ,3861,135,6600,7,Artes escénicas
79,HABLAN POR LA ESPALDA - SANGRE,Martín Solana,Uruguay,"Preventa para la recaudación del fondos del nuevo disco de HPLE, SANGRE, a salir en el 2015.",preventa recaudación fondos nuevo disco hple sangre salir, sangre   recaudacion fondos ,71333,135,19000,101,Música
80,WITOLDA,Congreso Gombrowicz,Argentina,La primera revista en español sobre Witold Gombrowicz.,primera revista español witold gombrowicz, revista   espanol witold ,19708,134,21200,181,Editorial
81,GRABACION DE MI NUEVO DISCO,Elizabeth Morris,Chile,Ayúdame a financiar la grabación de mi cuarto disco.,ayúdame financiar grabación cuarto disco, financiar   grabacion cuarto ,134595,134,24700,177,Música
82,EDICIÓN DEL LIBRO HABITAT,Editorial Casa de Gatos,Argentina,Habitat es un blog sobre historias de gente común que se la jugó por destinos poco convencionales. Ahora se convertirá en libro.,habitat blog historias gente común jugó destinos convencionales ahora convertirá libro, convertira   blog historias ,1663,133,5600,34,Editorial
83,¡AYUDANOS A POBLAR EL MUNDO!,Pueblacantoras,Argentina,Somos Puebla. Necesitamos ayuda para grabar nuestro 1er disco. Nos escuchan en: pueblacantoras.bandcamp.com,puebla necesitamos ayuda grabar 1er disco escuchan pueblacantorasbandcampcom, escuchan   necesitamos ayuda ,6552,133,6800,61,Música
84,ONI: JUGANDO EN JAPON MEDIEVAL,SebasKO,Argentina,"Un juego de cartas de memoria y engaño, donde encarnamos diablitos japoneses que pelean por hacer travesuras y ganar oro.",juego cartas memoria engaño encarnamos diablitos japoneses pelean hacer travesuras ganar oro, ganar   cartas memoria ,6499,132,19500,279,Editorial
85,THE TENEBRAE: EL LIBRO DE ARTE,Patricio Oliver,Argentina,"Libro de arte de Patricio Oliver (PO!) que compila todo su trabajo sobre The Tenebrae, su proyecto de personajes y juguetes.",libro arte patricio oliver po compila trabajo tenebrae proyecto personajes juguetes, arte patricio   personajes ,23886,132,27600,283,Editorial
86,YARAD O LA ÚLTIMA ENMIENDA,El Silo,Argentina,YARAD o la última enmienda es una obra teatral que explora los vínculos entre los integrantes de una familia y su relación con el poder.,yarad última enmienda obra teatral explora vínculos integrantes familia relación poder, relacion   ultima   familia ,4314,132,13200,20,Artes escénicas
87,JACKELIN TIENE UN LÍMITE,Ariana Caruso,Argentina,"Espectáculo teatral Unipersonal de Ariana Caruso que reflexiona sobre el rol de la mujer, las relaciones enfermizas y el amor.",espectáculo teatral unipersonal ariana caruso reflexiona rol mujer relaciones enfermizas amor, teatral   relaciones enfermizas ,4333,132,9500,33,Artes escénicas
88,OEPA,Marina Haller,Argentina,"Otoño en Escandinavia, Primavera en Agronomía es un libro que vincula estos dos lugares a través de un paseo mediante Ilustraciones y fotos.",otoño escandinavia primavera agronomía libro vincula lugares través paseo mediante ilustraciones fotos, escandinavia   mediante ilustraciones ,25732,131,19800,2642,Editorial
89,FABRICACIÓN DISCO JUAN NAZAR,Juan Nazar,Argentina,"Diente de león es el primer disco de Juan Nazar. Ya está listo, solo falta financiar esta ultima etapa para que el disco sea fabricado!",diente león primer disco juan nazar listo solo falta financiar ultima etapa disco fabricado, leon primer disco ,5144,131,6100,40,Música
90,ARTE ENCAPSULADO,Marta Minujin,Argentina,"Dos botellas en una. Cuando la adquieras, tendrás una sensación de incertidumbre. ¿Qué hacer? Beber el Adentro o quedarse con el Afuera",botellas adquieras sensación incertidumbre hacer beber adentro quedarse afuera, quedarse   adquieras   sensacion ,63146,131,38400,16,Artes visuales
91,ANUARIO DE ILUSTRADORES 2014,Anuario Ilustradores,Argentina,Un libro lleno de ilustraciones y posibilidades.,libro lleno ilustraciones posibilidades, libro lleno ilustraciones ,64089,130,57800,1740,Artes visuales
92,LIBRO DE ARTE MAGIA Y MÍSTICA,Jellyfish Editorial,Argentina,Este es un libro que compila 20 artistas visuales emergentes que trabajan con la temática de la magia y la mística.,libro compila artistas visuales emergentes trabajan temática magia mística, compila   tematica magia ,14038,130,32300,160,Artes visuales
93,TERCERA CULTURA: #THELIBRO,Tercera Cultura,Chile,"Ayuda a Ricardo y a Remis a publicar su primer libro, una introducción a las Ciencias Cognitivas en el estilo de terceracultura.cl !!!",ayuda ricardo remis publicar primer libro introducción ciencias cognitivas estilo terceraculturacl, ricardo   cognitivas estilo ,92952,130,30600,184,Editorial
